,aid,themes,scores,title,types,year,directors,thems_map
12,mzc00200hblk6rw,"['青春与成长', '探索与冒险', '神秘与超自然', '友情', '奇幻世界']","[9.0, 8.0, 8.0, 7.0, 7.0]",铃芽之旅,['动画'],,['新海诚'],"['亲情与成长', '挑战与冒险', '奇幻与超自然', '友情', '奇幻世界']"
13,mzc00200o4emst0,"['环境与自然', '友情', '成长与挑战', '勇气与冒险']","[10.0, 9.0, 8.0, 7.0]",熊出没·狂野大陆,['喜剧' '动画' '科幻'],2021,['丁亮'],"['环境与自然', '友情', '生存与挑战', '勇气与决定']"
14,m01ss5q8ff48zr1,"['农村与城市的差异', '成长与自我发现', '真诚与友谊', '文化冲突', '适应与融入', '勇敢面对困境']","[10.0, 9.0, 8.0, 7.0, 6.0, 5.0]",山炮进城,['剧情' '喜剧' '搞笑'],2015,['崔俊杰'],"['农村与城市的差异', '成长与自我发现', '友谊', '文化冲突', '适应与融入', '勇敢面对困境']"
15,mzc002002cki9m7,"['环境与自然', '勇敢面对困境', '成长与自我发现', '适应与融入', '真诚与友谊', '冒险']","[10.0, 9.0, 8.0, 7.0, 6.0, 5.0]",萌鸡小队：萌闯新世界,['冒险' '动画' '儿童' '家庭'],2022,['冯操'],"['环境与自然', '勇敢面对困境', '成长与自我发现', '适应与融入', '友谊', '勇气和冒险']"
16,mzc00200975hawm,"['职业道德', '信任与背叛', '勇敢面对困境', '真诚与友谊', '奉献与牺牲', '家庭与团圆']","[10.0, 9.0, 8.0, 7.0, 6.0, 5.0]",银行家,['传记' '剧情'],2020,['乔治·诺非'],"['职业道德', '信任与背叛', '勇敢面对困境', '友谊', '保护与牺牲', '家庭与团圆']"
17,mzc00200sw6i0jc,"['团结与支持', '勇气和冒险', '忠诚和承诺', '政治与权力', '战争与和平', '历史和文明']","[9.0, 9.0, 8.0, 8.0, 7.0, 6.0]",长津湖之水门桥,['战争' '剧情' '历史'],2022,['徐克'],"['团结与合作', '勇气和冒险', '忠诚和承诺', '政治与权力', '战争与和平', '历史和文明']"
18,mzc00200mbkh5o2,"['犯罪与黑帮', '心理与健康', '信任和诚实']","[10.0, 9.0, 8.0]",嫌疑人之长夜将尽,['剧情' '犯罪'],2021,['刘铁柱' '王庭'],"['犯罪与惩罚', '心理与健康', '信任和诚实']"
19,fhe2h7sop52qzza,"['社会平等', '友情', '勇敢面对困境', '社会和谐', '适应与融入', '成长与自我发现']","[10.0, 9.0, 8.0, 7.0, 6.0, 5.0]",疯狂动物城,['搞笑' '喜剧' '冒险' '励志' '动画'],2016,['拜伦·霍华德' '里奇·摩尔' 'Jared Bush'],"['社会平等', '友情', '勇敢面对困境', '社会和谐', '适应与融入', '成长与自我发现']"
20,mzc002002s82ed8,"['成长与自我发现', '真诚与友谊', '青春与成长', '真爱与选择']","[10.0, 9.0, 8.0, 7.0]",念念相忘,['爱情'],,['刘雨霖'],"['成长与自我发现', '友谊', '亲情与成长', '真爱与选择']"
21,mzc00200jd5hfur,"['勇气与冒险', '忠诚和团结', '生死与和平', '坚持与信念', '勇敢面对困境']","[10.0, 9.0, 8.0, 7.0, 6.0]",血战狙击岭,['战争' '剧情' '动作'],2021,['李志文'],"['勇气与决定', '忠诚和承诺', '战争与和平', '坚持与信念', '勇敢面对困境']"
22,mzc00200mvqnoil,"['女性力量与平等', '家庭矛盾', '法律与正义', '勇敢面对困境', '亲情疏远', '信任与背叛']","[10.0, 9.0, 8.0, 7.0, 6.0, 5.0]",我经过风暴,['剧情' '家庭'],2022,['秦海燕'],"['女性力量与平等', '家庭矛盾', '复仇与正义', '勇敢面对困境', '亲情疏远', '信任与背叛']"
23,mzc00200qpkjqvp,"['团结与支持', '勇敢面对困境', '文化传承', '童年回忆', '冒险与探险', '运动精神']","[10.0, 9.0, 8.0, 7.0, 6.0, 5.0]",我们的冬奥,['剧情' '动画'],2022,['林永长' '李豪凌' '钟鸣' '张喆'],"['团结与合作', '勇敢面对困境', '文化与传承', '童年回忆', '冒险与挑战', '运动精神']"
24,mzc002008v8rka3,"['环境与自然', '灾难与生存', '家庭与团圆', '勇气和冒险', '团结和支持', '技术与未来']","[10.0, 10.0, 9.0, 9.0, 9.0, 9.0]",流浪地球2,['灾难' '冒险' '科幻'],2023,['郭帆'],"['环境与自然', '灾难与生存', '家庭与团圆', '勇气和冒险', '团结和支持', '科技与未来']"
25,mzc00200qckqxs3,"['成长与自我发现', '勇敢面对困境', '真诚与友谊', '环境与自然', '冲突与和解', '儿童与成长']","[10.0, 9.0, 8.0, 7.0, 6.0, 5.0]",老鹰抓小鸡,['动画'],2021,['董龙'],"['成长与自我发现', '勇敢面对困境', '友谊', '环境与自然', '冲突与和解', '亲情与成长']"
26,bv8m91i5jj1w1ww,"['家庭与团圆', '姐妹情谊', '勇气与冒险', '心灵成长', '真诚与友谊', '自我接受']","[10.0, 9.0, 8.0, 7.0, 6.0, 5.0]",冰雪奇缘,['奇幻' '歌舞' '喜剧' '音乐' '动画'],2013,['克里斯·巴克' '詹妮弗·李'],"['家庭与团圆', '姐妹情谊', '勇气与决定', '心灵成长', '友谊', '自我接受']"
27,mzc00200ks08iqq,"['女性力量与平等', '成长与自我发现', '勇气和冒险', '忠诚和承诺', '家庭与团圆', '文化与传承']","[10.0, 9.0, 9.0, 8.0, 7.0, 6.0]",木兰：横空出世,['喜剧' '动画' '动作'],2020,['廖光华'],"['女性力量与平等', '成长与自我发现', '勇气和冒险', '忠诚和承诺', '家庭与团圆', '文化与传承']"
28,u5swzrxeapydgrp,"['复仇与救赎', '信任与背叛', '勇气和冒险', '忠诚和团结', '冲突与和解']","[10.0, 9.0, 8.0, 7.0, 5.0]",碟中谍6：全面瓦解,['悬疑' '惊悚' '冒险' '动作'],2018,['克里斯托弗·麦奎里'],"['复仇与正义', '信任与背叛', '勇气和冒险', '忠诚和承诺', '冲突与和解']"
29,om43f374meb25iu,"['环保意识', '友谊', '勇气与冒险', '团结与支持', '亲情与关怀']","[9.0, 9.0, 8.0, 8.0, 7.0]",熊出没之夺宝熊兵,['搞笑' '剧情' '喜剧' '亲情' '家庭' '冒险' '动画'],2014,['丁亮' '刘富源'],"['环保意识', '友谊', '勇气与决定', '团结与合作', '亲情与成长']"
30,mzc002008li7sth,"['生存与挑战', '困境与挑战', '灾难与生存', '勇气与冒险']","[10.0, 9.0, 8.0, 7.0]",异兽,['惊悚' '剧情' '恐怖'],2022,['周杰'],"['生存与挑战', '生存与挑战', '灾难与生存', '勇气与决定']"
31,76n6vdky9nfocyg,"['环境与自然', '人与自然', '科技与未来', '文化冲突', '勇气和冒险', '团结和支持']","[10.0, 9.0, 8.0, 7.0, 6.0, 5.0]",阿凡达：水之道,['冒险' '科幻' '动作'],2022,['詹姆斯·卡梅隆'],"['环境与自然', '环境与自然', '科技与未来', '文化冲突', '勇气和冒险', '团结和支持']"
32,gib06eaidoc457v,"['奇幻世界', '灵异现象']","[10.0, 9.0]",僵尸先生5驱魔警察,['奇幻' '恐怖' '动作'],1990,['董玮'],"['奇幻世界', '灵异现象']"
33,mzc0020035l5vcf,"['战争与和平', '团结与支持', '忠诚与承诺', '勇气与冒险', '牺牲与奉献', '坚持与信念']","[10.0, 9.0, 9.0, 8.0, 8.0, 7.0]",狙击手,['战争' '剧情' '历史'],2022,['张艺谋' '张末'],"['战争与和平', '团结与合作', '忠诚与信任', '勇气与决定', '牺牲和奉献', '坚持与信念']"
34,mzc00200zq928z1,"['亲情与成长', '自我与成长', '坚持与信念', '家庭与团圆', '困境与挑战']","[9.5, 9.0, 8.5, 8.0, 7.5]",我是监护人,['剧情' '家庭'],2020,['敬然'],"['亲情与成长', '亲情与成长', '坚持与信念', '家庭与团圆', '生存与挑战']"
35,mzc00200nx1hbcr,"['战争与和平', '忠诚和团结', '历史和文明', '勇气和冒险', '牺牲和奉献']","[10.0, 9.0, 8.0, 7.0, 6.0]",长津湖,['战争' '剧情' '历史'],2021,['陈凯歌' '徐克' '林超贤'],"['战争与和平', '忠诚和承诺', '历史和文明', '勇气和冒险', '牺牲和奉献']"
36,mzc00200bd3gkta,"['政治与权力', '忠诚与承诺', '真相与谎言', '阴谋与权谋']","[9.0, 8.0, 8.0, 7.0]",满江红,['悬疑' '剧情' '喜剧' '古装'],,['张艺谋'],"['政治与权力', '忠诚与信任', '真相与谎言', '阴谋与权谋']"
37,v2098lbuihuqs11,"['团结与支持', '牺牲和奉献', '勇气和冒险', '忠诚和承诺']","[10.0, 9.0, 9.0, 8.0]",复仇者联盟4：终局之战,['奇幻' '冒险' '科幻' '动作'],2019,['安东尼·罗素' '乔·罗素'],"['团结与合作', '牺牲和奉献', '勇气和冒险', '忠诚和承诺']"
38,mzc00200o5otmir,"['探险与冒险', '奇幻与超自然', '历史与文明', '勇气与冒险', '友谊']","[10.0, 9.0, 8.0, 7.0, 6.0]",鬼吹灯之湘西密藏,['奇幻' '冒险' '喜剧' '动作'],2020,['罗乐'],"['挑战与冒险', '奇幻与超自然', '历史和文明', '勇气与决定', '友谊']"
39,zr5a67l333ehzu9,"['成长与自我发现', '家庭与团圆', '勇气和冒险', '真诚与友谊', '神话与传说', '反叛与救赎']","[10.0, 9.0, 8.0, 7.0, 6.0, 5.0]",哪吒之魔童降世,['搞笑' '剧情' '动作' '奇幻' '喜剧' '亲情' '动画'],2019,['饺子'],"['成长与自我发现', '家庭与团圆', '勇气和冒险', '友谊', '神话与传说', '复仇与救赎']"
40,bzg57zo8fatq3mb,"['环境与自然', '科技与未来', '勇气和冒险', '友情', '文化冲突', '自我与成长']","[10.0, 9.0, 8.0, 7.0, 6.0, 5.0]",天空之城,['奇幻' '冒险' '动画' '科幻'],1986,['宫崎骏'],"['环境与自然', '科技与未来', '勇气和冒险', '友情', '文化冲突', '亲情与成长']"
41,mzc00200ga2o6fs,"['勇气和冒险', '忠诚和承诺', '环境与自然', '家庭与团圆', '信任和诚实', '坚持与信念']","[10.0, 9.0, 8.0, 7.0, 6.0, 5.0]",守岛人,['传记' '剧情'],2021,['陈力'],"['勇气和冒险', '忠诚和承诺', '环境与自然', '家庭与团圆', '信任和诚实', '坚持与信念']"
42,3v5ksc6jiwskqw4,"['成长与自我发现', '友谊', '勇气和冒险', '团结和支持', '信任和诚实', '适应与融入']","[10.0, 9.0, 8.0, 7.0, 6.0, 5.0]",倒霉特工熊,['冒险' '喜剧' '动画' '家庭'],2017,[],"['成长与自我发现', '友谊', '勇气和冒险', '团结和支持', '信任和诚实', '适应与融入']"
43,2rgkj31016tqmhf,"['环保意识', '动物与人类和谐共处', '成长与自我发现', '友谊', '冒险精神', '乐观向上']","[10.0, 9.0, 8.0, 7.0, 6.0, 5.0]",熊出没·原始时代,['搞笑' '奇幻' '喜剧' '冒险' '动画'],2019,['丁亮' '林汇达'],"['环保意识', '动物与人类和谐共处', '成长与自我发现', '友谊', '冒险精神', '乐观向上']"
44,h05z5bsjxw544er,"['真爱与选择', '成长与自我发现', '友情', '信任与背叛', '忠诚和承诺']","[10.0, 9.0, 8.0, 7.0, 6.0]",前任3：再见前任,['喜剧' '爱情' '搞笑'],2017,['田羽生'],"['真爱与选择', '成长与自我发现', '友情', '信任与背叛', '忠诚和承诺']"
45,wi8e2p5kirdaf3j,"['牺牲和奉献', '忠诚和承诺', '勇气和冒险', '团结和支持']","[10.0, 9.0, 8.0, 7.0]",战狼2,['战争' '动作'],2017,['吴京'],"['牺牲和奉献', '忠诚和承诺', '勇气和冒险', '团结和支持']"
46,qee75hz1x7m6n3s,"['科技与未来', '友谊', '忠诚和承诺', '勇气和冒险', '真相与谎言']","[9.0, 8.0, 8.0, 7.0, 6.0]",变形金刚5：最后的骑士,['冒险' '科幻' '动作'],2017,['迈克尔·贝'],"['科技与未来', '友谊', '忠诚和承诺', '勇气和冒险', '真相与谎言']"
47,mzc00200pnlxrd3,"['友情与成长', '勇气和冒险', '忠诚和团结', '亲情和关怀', '成长与自我发现']","[10.0, 9.0, 9.0, 8.0, 8.0]",超级马力欧,['爱情' '奇幻' '喜剧' '科幻' '冒险' '动画'],2022,['迈克尔·杰勒尼克'],"['亲情与成长', '勇气和冒险', '忠诚和承诺', '亲情和关怀', '成长与自我发现']"
48,mzc00200l3dp7jj,"['探索与冒险', '勇气和冒险', '忠诚和承诺', '信任和背叛', '善恶较量', '道义与背叛']","[10.0, 10.0, 9.0, 9.0, 8.0, 8.0]",搬山道人之落天荒,['冒险' '动作'],,['刘春'],"['挑战与冒险', '勇气和冒险', '忠诚和承诺', '信任与背叛', '善恶较量', '信任与背叛']"
49,mzc002007nv9vz9,"['亲情与成长', '家庭关系', '团结与支持', '勇气和冒险', '善恶较量']","[10.0, 9.0, 7.0, 6.0, 5.0]",超能一家人,,2022,['宋阳'],"['亲情与成长', '家庭关系', '团结与合作', '勇气和冒险', '善恶较量']"
50,4ins96adw2a5rfv,"['政治与权力', '犯罪与黑帮', '忠诚和承诺', '勇气和冒险', '困境与挑战']","[10.0, 9.0, 8.0, 7.0, 6.0]",精英部队2：大敌当前,['惊悚' '剧情' '犯罪' '动作'],2010,['若泽·帕迪里亚'],"['政治与权力', '犯罪与惩罚', '忠诚和承诺', '勇气和冒险', '生存与挑战']"
51,d6mvesrx6j2ux4x,"['复仇与救赎', '信任与背叛', '暗杀与黑暗世界', '犯罪与黑帮']","[10.0, 9.0, 8.0, 7.0]",致命黑兰,['惊悚' '剧情' '犯罪' '动作'],2011,['奥利维尔·米加顿'],"['复仇与正义', '信任与背叛', '暗杀与黑暗世界', '犯罪与惩罚']"
52,7casb7nes159mrl,"['真实事件改编', '勇气和冒险', '团结和支持', '忠诚和承诺', '生死抉择', '战争与和平']","[10.0, 9.0, 9.0, 8.0, 8.0, 7.0]",红海行动,['战争' '动作'],2018,['林超贤'],"['真实事件改编', '勇气和冒险', '团结和支持', '忠诚和承诺', '生死抉择', '战争与和平']"
53,mzc00200s86e0j8,"['青春与成长', '友情', '冒险精神', '勇气和冒险', '多元宇宙']","[9.0, 8.0, 8.0, 7.0, 6.0]",蜘蛛侠：纵横宇宙（上）,,2022,['乔伊姆·多斯·桑托斯' '凯普·鲍尔斯'],"['亲情与成长', '友情', '冒险精神', '勇气和冒险', '多元宇宙']"
54,mzc002003s3ah9o,"['生死抉择', '环境与自然', '冒险精神', '灾难与生存', '动物与人类和谐共处']","[10.0, 9.0, 8.0, 7.0, 6.0]",蛇灾：蛇岛惊魂,['惊悚' '冒险' '灾难' '亲情'],2020,['吉米'],"['生死抉择', '环境与自然', '冒险精神', '灾难与生存', '动物与人类和谐共处']"
55,1nawx3148rx2apm,"['成长与自我发现', '友谊与牺牲', '环保意识', '勇敢面对困境', '冒险精神']","[10.0, 9.0, 8.0, 7.0, 6.0]",熊出没之雪岭熊风,['冒险' '喜剧' '动画' '家庭'],2015,['丁亮' '刘富源'],"['成长与自我发现', '友谊', '环保意识', '勇敢面对困境', '冒险精神']"
56,mzc00200ky6sung,"['战争与和平', '历史和文明', '勇气和冒险', '忠诚和承诺', '牺牲和奉献', '生死抉择']","[10.0, 9.0, 8.0, 7.0, 6.0, 5.0]",幸存者1937,['战争'],2021,['王岩川'],"['战争与和平', '历史和文明', '勇气和冒险', '忠诚和承诺', '牺牲和奉献', '生死抉择']"
57,mzc00200ylulwyn,"['复仇与救赎', '信任与背叛', '职业道德', '黑暗世界', '勇敢面对困境', '忠诚与团结']","[10.0, 9.0, 8.0, 8.0, 7.0, 6.0]",冷血悍将,['惊悚' '剧情' '动作'],2021,['斯特法诺·索利马'],"['复仇与正义', '信任与背叛', '职业道德', '暗杀与黑暗世界', '勇敢面对困境', '忠诚与信任']"
58,53el1qwq1gnm5fn,"['环保意识', '友情', '勇气和冒险', '团结和支持', '成长与自我发现', '动物与人类和谐共处']","[10.0, 9.0, 8.0, 7.0, 6.0, 5.0]",熊出没之熊心归来,['冒险' '喜剧' '儿童' '动画'],2016,['丁亮' '林永长'],"['环保意识', '友情', '勇气和冒险', '团结和支持', '成长与自我发现', '动物与人类和谐共处']"
59,mzc00200b4jsdq6,"['家庭与团圆', '亲情与成长', '冲突与和解', '信任与诚实', '勇敢面对困境']","[10.0, 9.0, 9.0, 8.0, 7.0]",人生路不熟,['剧情' '喜剧'],,['叫兽易小星'],"['家庭与团圆', '亲情与成长', '冲突与和解', '信任与背叛', '勇敢面对困境']"
60,mzc00200grqdp0c,"['忠诚和承诺', '信任和诚实', '牺牲和奉献', '勇气和冒险', '暗杀与黑暗世界']","[10.0, 9.0, 8.0, 7.0, 6.0]",007：无暇赴死,['惊悚' '冒险' '动作'],2021,['凯瑞·福永'],"['忠诚和承诺', '信任和诚实', '牺牲和奉献', '勇气和冒险', '暗杀与黑暗世界']"
61,kkpdn0lz6drhxz8,"['友情', '成长与自我发现', '冒险精神', '乐观向上', '善恶较量']","[10.0, 9.0, 9.0, 8.0, 7.0]",海绵宝宝,['冒险' '喜剧' '动画' '家庭'],2015,['保罗·蒂贝特'],"['友情', '成长与自我发现', '冒险精神', '乐观向上', '善恶较量']"
62,mzc002001clmhji,"['团队合作', '成长与自我发现', '勇敢面对困境', '友谊', '动物与人类和谐共处']","[10.0, 9.0, 8.0, 7.0, 6.0]",汪汪队立大功之超能救援,['冒险' '动画' '儿童' '家庭'],2020,['安德鲁·斯特里梅迪斯'],"['团结与合作', '成长与自我发现', '勇敢面对困境', '友谊', '动物与人类和谐共处']"
63,dwt56ndspm9xm89,"['自我与成长', '友情', '科技与未来', '勇敢面对困境', '团队合作', '善恶较量']","[10.0, 9.0, 9.0, 8.0, 8.0, 7.0]",变形金刚,['冒险' '科幻' '动作'],2007,['迈克尔·贝'],"['亲情与成长', '友情', '科技与未来', '勇敢面对困境', '团结与合作', '善恶较量']"
64,c949qjcugx9a7gh,"['自我与成长', '勇气和冒险', '团队合作', '善恶较量', '科技与未来', '信任与背叛']","[10.0, 9.0, 8.0, 7.0, 6.0, 5.0]",毒液：致命守护者,['惊悚' '搞笑' '科幻' '动作'],2018,['鲁本·弗雷斯彻'],"['亲情与成长', '勇气和冒险', '团结与合作', '善恶较量', '科技与未来', '信任与背叛']"
65,0k89cbc5x5j5q4o,"['科技与未来', '人工智能', '自我与成长', '人类潜能', '力量与责任']","[9.0, 8.0, 8.0, 7.0, 7.0]",超体,['惊悚' '科幻' '动作'],2014,['吕克·贝松'],"['科技与未来', '人工智能', '亲情与成长', '人类潜能', '力量与责任']"
66,kl8z1fq87tfr5o7,"['勇气和冒险', '忠诚和承诺', '团结和支持', '历史和文明', '战争与和平', '奉献和牺牲']","[10.0, 10.0, 10.0, 9.0, 9.0, 9.0]",血性山谷,['战争'],2001,['安战军'],"['勇气和冒险', '忠诚和承诺', '团结和支持', '历史和文明', '战争与和平', '奉献与牺牲']"
67,06f338d6r1wa3my,"['自我成长与发现', '勇敢面对困境', '姐妹情谊', '环境与自然', '文化与传承', '冒险精神']","[10.0, 9.0, 9.0, 8.0, 8.0, 7.0]",冰雪奇缘2,['奇幻' '歌舞' '喜剧' '冒险' '音乐' '动画'],2019,['克里斯·巴克' '珍妮弗·李'],"['成长与自我发现', '勇敢面对困境', '姐妹情谊', '环境与自然', '文化与传承', '冒险精神']"
68,gwz8nqvc78oexgm,"['官场腐败', '善恶较量', '反腐倡廉', '克服困难', '人性善恶', '诚实守信']","[10.0, 9.0, 8.0, 7.0, 6.0, 5.0]",九品芝麻官,['喜剧' '搞笑' '古装'],1994,['王晶'],"['官场腐败', '善恶较量', '反腐倡廉', '克服困难', '人性善恶', '诚实与信任']"
69,ly31exdvunw22uc,"['成长与自我发现', '友谊', '勇敢面对困境', '善恶较量', '忠诚和承诺']","[10.0, 9.0, 8.0, 8.0, 7.0]",海绵宝宝历险记,['搞笑' '喜剧' '家庭' '冒险' '动画'],2004,['马克·奥斯本' '史蒂芬·海伦伯格'],"['成长与自我发现', '友谊', '勇敢面对困境', '善恶较量', '忠诚和承诺']"
70,mzc00200qfarw6d,"['牺牲和奉献', '忠诚和团结', '勇气和冒险', '战争与和平', '历史和文明', '生死抉择']","[10.0, 9.0, 9.0, 8.0, 8.0, 7.0]",金刚川,['战争' '剧情' '历史' '动作'],2020,['管虎' '郭帆' '路阳'],"['牺牲和奉献', '忠诚和承诺', '勇气和冒险', '战争与和平', '历史和文明', '生死抉择']"
71,6xzlbrzswkuo3wq,"['多元宇宙', '团队合作', '勇气和冒险', '接受和包容', '人类潜能', '力量与责任']","[10.0, 9.0, 8.0, 7.0, 6.0, 5.0]",蜘蛛侠：平行宇宙,['冒险' '动画' '科幻' '动作'],2018,['鲍勃·佩尔西凯蒂' '彼得·拉姆齐' '罗德尼·罗斯曼'],"['多元宇宙', '团结与合作', '勇气和冒险', '接受与包容', '人类潜能', '力量与责任']"
72,xex6po9q55akzsr,"['团队合作', '勇气和冒险', '忠诚和承诺', '善恶较量']","[10.0, 9.0, 8.0, 7.0]",敢死队,['犯罪' '惊悚' '冒险' '动作'],2010,['西尔维斯特·史泰龙'],"['团结与合作', '勇气和冒险', '忠诚和承诺', '善恶较量']"
73,jbz487z0v6b23gm,"['暗杀与黑暗世界', '职业道德', '复仇与救赎', '信任与背叛']","[9.0, 8.0, 8.0, 7.0]",机械师2：复活,['惊悚' '冒险' '犯罪' '动作'],2016,['丹尼斯·甘塞尔'],"['暗杀与黑暗世界', '职业道德', '复仇与正义', '信任与背叛']"
74,mzc00200kwccznz,"['生死抉择', '信任与背叛', '犯罪与黑帮', '职业道德', '勇敢面对困境']","[9.0, 8.0, 8.0, 7.0, 7.0]",毒海风云,['犯罪' '动作'],2021,['张杰'],"['生死抉择', '信任与背叛', '犯罪与惩罚', '职业道德', '勇敢面对困境']"
75,mzc002004tg5y8n,"['生存与挑战', '灾难与生存', '勇气与冒险', '环境与自然', '生死抉择', '人类与自然的关系']","[10.0, 9.0, 8.0, 7.0, 6.0, 5.0]",深海狂鲨3,['恐怖' '科幻' '动作'],2020,['约翰·波罗'],"['生存与挑战', '灾难与生存', '勇气与决定', '环境与自然', '生死抉择', '人类与自然的关系']"
76,9f8tpq2gly9p5ts,"['牺牲和奉献', '忠诚和承诺', '团结和支持', '勇气和冒险', '历史和文明', '战争与和平']","[10.0, 9.0, 8.0, 7.0, 6.0, 5.0]",八佰,['战争' '剧情' '历史'],2020,['管虎'],"['牺牲和奉献', '忠诚和承诺', '团结和支持', '勇气和冒险', '历史和文明', '战争与和平']"
77,gz9q7kd8wviwkxv,"['青春与成长', '命运与选择', '时空错位', '真爱与牺牲', '灵魂互换']","[10.0, 9.0, 8.0, 7.0, 6.0]",你的名字。,['剧情' '动画' '爱情'],2016,['新海诚'],"['亲情与成长', '真爱与选择', '时空错位', '真爱与选择', '灵魂互换']"
78,mzc002005crc78s,"['神话与传说', '阴阳冲突', '灵异现象', '人妖之间', '勇敢面对困境', '真相与谎言']","[10.0, 9.0, 8.0, 7.0, 6.0, 5.0]",钟馗伏妖,['奇幻' '惊悚' '恐怖'],2022,['王晓泽'],"['神话与传说', '阴阳冲突', '灵异现象', '人妖之间', '勇敢面对困境', '真相与谎言']"
79,7fjv56lqblm6jhd,"['环保意识', '团队合作', '成长与自我发现', '动物与人类和谐共处', '友谊', '冒险精神']","[10.0, 9.0, 8.0, 7.0, 6.0, 5.0]",熊出没·变形记,['亲情' '冒险' '喜剧' '动画'],2018,['丁亮' '林汇达'],"['环保意识', '团结与合作', '成长与自我发现', '动物与人类和谐共处', '友谊', '冒险精神']"
80,msbt3iret5tgwu8,"['信任与背叛', '忠诚和承诺', '勇气和冒险', '真诚与友谊', '职业道德']","[10.0, 9.0, 8.0, 7.0, 6.0]",赌神,['剧情' '喜剧' '动作'],1989,['王晶'],"['信任与背叛', '忠诚和承诺', '勇气和冒险', '友谊', '职业道德']"
