,baseCid,cid,algo_type,pay_amt,sd_income,pay_amount,buy_times,duration_type,ip,ip_of_baseCid
38,TWLFYaSwzS1615262192462,dNUkdLPkci1585650051748,,22.00,22.0000,22.0,3.0,月卡,超级宝贝JoJo,超级宝贝JoJo
39,KGGJWPMdPi1642562281891,dNUkdLPkci1585650051748,,1.00,22.0000,1.0,5.0,周卡,超级宝贝JoJo,汪汪队
40,QtVxlMBLWz1688620704695,QtVxlMBLWz1688620704695,,28.00,,28.0,6.0,月卡,,
41,QtVxlMBLWz1688620704695,EcjztyVhJg1689303456414,,59.00,59.0000,59.0,1.0,季卡,,
42,xGOuQqrDhj1672030794752,VnukKzayCX1672030917761,,22.00,,22.0,2.0,月卡,,
43,HTzlrpzuJO1683191028027,jrBIzurAEP1679035460357,,1.00,,1.0,1.0,周卡,,
44,nmyUqVpBlr1614164299502,dNUkdLPkci1585650051748,,28.00,,28.0,2.0,月卡,超级宝贝JoJo,汪汪队
45,ToZTRKUEIZ1666598601997,dNUkdLPkci1585650051748,,19.00,,19.0,1.0,月卡,超级宝贝JoJo,
46,VbHulUqOGv1604975827938,VbHulUqOGv1604975827938,,59.00,29.5000,59.0,4.0,季卡,奥特曼,奥特曼
47,dcFXccjtWN1670988679451,dNUkdLPkci1585650051748,,1.00,,1.0,1.0,周卡,超级宝贝JoJo,
48,dcFXccjtWN1670988679451,tftfYiDenv1658217865573,,19.00,,19.0,2.0,月卡,,
49,DGFAIDIqGH1600322877228,EcjztyVhJg1689303456414,,1.00,229.0000,1.0,1.0,周卡,,爆笑虫子
50,gOFmSTSvqo1621935528034,QtVxlMBLWz1688620704695,,19.00,,19.0,1.0,月卡,,宝宝巴士
51,LYBWueiSVs1654910640173,VbHulUqOGv1604975827938,,1.00,,1.0,2.0,周卡,奥特曼,
52,EcjztyVhJg1689303456414,dNUkdLPkci1585650051748,,19.00,,19.0,1.0,月卡,超级宝贝JoJo,
53,XMKquGogeZ1620809506614,mOtxYJNcjI1620809507719,trex,1.00,1.0000,1.0,1.0,周卡,全能宝贝,全能宝贝
54,LjcRwtTmeJ1630477109224,slWMgbEgMt1599120789021,trex,1.00,0.3300,1.0,1.0,周卡,贝乐虎,贝乐虎
55,slWMgbEgMt1599120789021,toeRcqNmXs1652150665231,trex,28.00,28.0000,28.0,5.0,月卡,,贝乐虎
56,toeRcqNmXs1652150665231,BInVDcgprf1629197625980,trex,19.00,19.0000,19.0,1.0,月卡,贝乐虎,
57,hONzltnDij1635755555937,uhhjDgqYwz1677721155880,trex,19.00,19.0000,19.0,20.0,月卡,,宝宝巴士
58,zcwclLEWFo1642963814110,qJOsiIczzB1603373597958,trex,19.00,6.3400,19.0,1.0,月卡,碰碰狐,碰碰狐
59,slWMgbEgMt1599120789021,HDatKhEbLZ1641893195135,trex,19.00,19.0000,19.0,1.0,月卡,,贝乐虎
60,slWMgbEgMt1599120789021,toeRcqNmXs1652150665231,replace,28.00,28.0000,28.0,2.0,月卡,,贝乐虎
61,ljBQVzHtwm1604037148198,DZyfoCzVAV1640581901623,replace,1.00,1.0000,1.0,2.0,周卡,汽车世界,汽车世界
62,PUEqZzWwfh1641870919728,aCnFnPnrqq1650852468659,replace,1.00,1.0000,1.0,1.0,周卡,,咚咚玩具屋
63,VDEzkVEGwq1672137250941,WbwpEjScVz1669104586882,trex,1.00,0.5000,1.0,2.0,周卡,,
64,tftfYiDenv1658217865573,EtoGwzMkmD1673259220418,trex,28.00,14.0000,28.0,7.0,月卡,,
65,TWLFYaSwzS1615262192462,dNUkdLPkci1585650051748,trex,89.00,89.0000,89.0,1.0,季卡,超级宝贝JoJo,超级宝贝JoJo
66,qqSJYUVXuH1678946769559,rewdzxpOyy1667884492661,trex,9.90,9.9000,9.9,1.0,月卡,,
67,iRdDTVcUVg1611236386907,EtoGwzMkmD1673259220418,trex,28.00,14.0000,28.0,7.0,月卡,,奶龙、飞狗moco等
68,dNUkdLPkci1585650051748,TWLFYaSwzS1615262192462,trex,28.00,28.0000,28.0,2.0,月卡,超级宝贝JoJo,超级宝贝JoJo
69,COPAnoLLWG1605582357423,zKVIdRspWk1639480554932,trex,28.00,14.0000,28.0,5.0,月卡,迷你特工队,迷你特工队
70,NeBzRSmxnm1628047578871,fECdaJLhSA1604043122786,trex,28.00,28.0000,28.0,6.0,月卡,小猪佩奇,小猪佩奇
71,GZbqbegduw1641972541356,tvKHeFpZUI1649920390761,trex,1.00,1.0000,1.0,1.0,周卡,,喜羊羊与灰太狼
72,dcFXccjtWN1670988679451,sTuXtscHGg1660283881528,trex,59.00,59.0000,59.0,7.0,季卡,,
73,jAGHvKfxCC1601282023158,fECdaJLhSA1604043122786,trex,1.00,1.0000,1.0,1.0,周卡,小猪佩奇,小猪佩奇
74,gpzttiXrjK1641437134605,uORfMkuBob1652148347673,trex,59.00,59.0000,59.0,4.0,季卡,,
75,mMAarTQLpv1690274080484,KlAkvoqmjW1690273453785,trex,28.00,5.6000,28.0,7.0,月卡,,
76,rSpHAEkwVa1606974409138,zwBNDjyeQR1685430516709,trex,6.60,6.6000,6.6,1.0,月卡,,奶龙、飞狗moco等
77,XketGfiRPu1685352771326,IMkWsGSwOO1663666745726,trex,49.00,24.5000,49.0,1.0,季卡,,
78,OHZdzDTNiy1684129436588,mtJXLuNBdL1684129597420,trex,28.00,28.0000,28.0,4.0,月卡,,
79,cvVwHJXUSR1670463383815,zwBlmWzWao1670379612197,trex,1.00,0.5000,1.0,1.0,周卡,,
80,eTcecpihff1648097788203,HHWogIUeqK1611912236143,trex,229.00,229.0000,229.0,1.0,年卡,,
81,jAGHvKfxCC1601282023158,dyILJGATFU1662601083618,trex,78.00,78.0000,78.0,1.0,季卡,,小猪佩奇
82,dzweDUESls1647418756548,KcLUnaQzax1682498008320,trex,1.00,0.4000,1.0,1.0,周卡,,
83,tftfYiDenv1658217865573,HgCggrKDkP1629110445085,trex,28.00,28.0000,28.0,2.0,月卡,奶龙、飞狗moco等,
84,OedKlkIXlp1620635738569,doprEbqIMG1679021870345,trex,28.00,9.3300,28.0,4.0,月卡,,超级飞侠
85,jpwMJelFNe1690273623787,KlAkvoqmjW1690273453785,trex,28.00,5.6000,28.0,7.0,月卡,,
86,EtoGwzMkmD1673259220418,DFVLLlmEer1678090099325,trex,1.00,1.0000,1.0,1.0,周卡,,
87,acZMEasvmY1632971111574,cbdEmBEaHF1605063106699,trex,28.00,28.0000,28.0,4.0,月卡,奥特曼,奥特曼
88,DLZBUKpfvm1639748199075,PITOJXnEcu1639750709588,trex,1.00,1.0000,1.0,7.0,周卡,,
89,ExasjUaAFg1631860775603,wtFpaPsrGa1678254448395,trex,1.00,0.3300,1.0,1.0,周卡,,
90,iRdDTVcUVg1611236386907,tftfYiDenv1658217865573,trex,19.00,9.5000,19.0,1.0,月卡,,奶龙、飞狗moco等
91,PfrZOkcVKf1614679353567,TtKrLImcPi1614679352803,trex,19.00,19.0000,19.0,2.0,月卡,海绵宝宝,海绵宝宝
92,cnJsMXksKs1675301532751,VnukKzayCX1672030917761,trex,1.00,0.3300,1.0,2.0,周卡,,
93,IiMuRLZJJr1622777141860,lMMLoRWsoA1612259931130,trex,19.00,19.0000,19.0,5.0,月卡,猫和老鼠,汤姆与杰利
94,ntABEDUEit1672804271581,psnjdscMSY1660272863433,trex,28.00,28.0000,28.0,9.0,月卡,,
95,AIEtxlRfup1680155814766,IcESfMhBYY1680156420347,trex,1.00,1.0000,1.0,1.0,周卡,,
96,EtoGwzMkmD1673259220418,sqTufNIWFr1675222700175,trex,1.00,1.0000,1.0,2.0,周卡,,
97,VbHulUqOGv1604975827938,THpNpyuawS1605063106699,trex,1.00,1.0000,1.0,1.0,周卡,奥特曼,奥特曼
98,EcjztyVhJg1689303456414,KoHwQpBbcc1686537664798,trex,28.00,28.0000,28.0,9.0,月卡,,
99,UPdHIgVdHs1682506060206,GgiLMrSyJz1689242116239,trex,9.90,9.9000,9.9,1.0,月卡,,
100,NvZvUgveye1658742264930,GgiLMrSyJz1689242116239,trex,28.00,117.0000,28.0,3.0,月卡,,
101,EtoGwzMkmD1673259220418,tftfYiDenv1658217865573,trex,28.00,7.0000,28.0,7.0,月卡,,
102,dTxUyNQPDr1642560959731,svnzWEOKQR1620798057349,trex,19.00,19.0000,19.0,1.0,月卡,超迷你战士,超迷你战士
103,NWMlKaavjn1605063106699,LRzhEgdMhT1620732962332,trex,19.00,19.0000,19.0,1.0,月卡,奥特曼,奥特曼
104,BQbEuiIRLv1659950336294,BSXmafdGgF1659951344674,trex,28.00,28.0000,28.0,2.0,月卡,,
105,HgCggrKDkP1629110445085,jnHvixajOk1673855089895,trex,19.00,3.1700,19.0,1.0,月卡,,奶龙、飞狗moco等
106,DEGPCWWwXT1689755327689,dcvzdwivpy1650435646286,trex,55.00,55.0000,55.0,1.0,季卡,巴啦啦小魔仙,
107,GWgdirnldY1603438435115,bhciQLWWti1663669756226,trex,19.00,19.0000,19.0,1.0,月卡,,猫和老鼠
108,VnukKzayCX1672030917761,CteFEGawsW1689162933418,trex,229.00,57.2500,229.0,1.0,年卡,,
109,CCoKMvFROM1669968818292,xwOKphmCDv1659577987976,trex,9.90,9.9000,9.9,1.0,月卡,,
110,ieVJioMXIw1623930586102,lGdxjypPzW1622791917778,trex,1.00,1.0000,1.0,1.0,周卡,海绵宝宝,蜡笔小新
111,MYqzwTgTUJ1670464318083,TYNPSAXJJg1683612665555,trex,9.90,9.9000,9.9,1.0,月卡,,
112,gpzttiXrjK1641437134605,FmuMIEzWjQ1650275298482,trex,229.00,229.0000,229.0,1.0,年卡,,
113,KcLUnaQzax1682498008320,CvWCsalMAL1682496080639,trex,59.00,59.0000,59.0,1.0,季卡,,
114,WfABGQEwCj1638493517486,LtvJiJfApf1619415453935,trex,9.90,9.9000,9.9,1.0,月卡,心奇爆龙战车,心奇爆龙战车
115,TWLFYaSwzS1615262192462,dcFXccjtWN1670988679451,trex,19.00,9.5000,19.0,1.0,月卡,,超级宝贝JoJo
116,UVFHfvejho1628588004814,WbwpEjScVz1669104586882,trex,1.00,0.5000,1.0,2.0,周卡,,猪猪侠
117,YTBuXAYvje1679308511455,wimuVuLlFZ1683612750240,trex,28.00,28.0000,28.0,18.0,月卡,,
118,NnQgRrCbUM1678426187097,jrBIzurAEP1679035460357,trex,1.00,1.0000,1.0,2.0,周卡,,
119,UYkvqXUbhF1605167479239,AdabeaWxQO1660718959248,trex,59.00,59.0000,59.0,8.0,季卡,,汪汪队
120,puHtEzRpHw1621935527254,KlHNSLhbBh1667809683398,trex,55.00,9.1700,55.0,2.0,季卡,,
121,TWLFYaSwzS1615262192462,dcFXccjtWN1670988679451,trex,19.00,4.7500,19.0,1.0,月卡,,超级宝贝JoJo
122,gkadmUpzpe1608707396724,FLggGAZUwG1608707396724,trex,89.00,89.0000,89.0,2.0,季卡,宝宝巴士,宝宝巴士
123,OJHqvNQnuC1662615200898,WkUZVBNcWC1610977284673,trex,19.00,19.0000,19.0,1.0,月卡,西游记,
124,DFVLLlmEer1678090099325,wtFpaPsrGa1678254448395,trex,1.00,0.3300,1.0,1.0,周卡,,
125,cTjKhjTiEf1678156578281,WPpkRNaIaz1678151280115,trex,1.00,1.0000,1.0,1.0,周卡,,
126,LnayOICMbZ1601006304441,RISpVxzCeC1601006304441,trex,1.00,0.1400,1.0,1.0,周卡,小猪佩奇,小猪佩奇
127,nbyOyvVvQY1614679354016,tZCndpsaOc1622791918814,trex,28.00,28.0000,28.0,1.0,月卡,海绵宝宝,海绵宝宝
128,BiBNnoJqGV1624959230618,IMkWsGSwOO1663666745726,trex,55.00,18.3300,55.0,1.0,季卡,,萌鸡小队
129,HsNhrjUABA1612173999589,BSXmafdGgF1659951344674,trex,1.00,1.0000,1.0,1.0,周卡,,
130,DGFAIDIqGH1600322877228,ByMjdbFTLz1688528858213,trex,28.00,28.0000,28.0,5.0,月卡,,爆笑虫子
131,COPAnoLLWG1605582357423,NvZvUgveye1658742264930,trex,28.00,18.6600,28.0,1.0,月卡,,迷你特工队
132,HrdjqqPfPH1659592081029,xQwiHIYSRp1604975827938,trex,1.00,0.2500,1.0,1.0,周卡,奥特曼,
133,tftfYiDenv1658217865573,EtoGwzMkmD1673259220418,trex,229.00,229.0000,229.0,4.0,年卡,,
134,LsFnqRiCvU1604458768696,iOajuTbXSr1626157126025,trex,59.00,59.0000,59.0,2.0,季卡,喜羊羊与灰太狼,喜羊羊与灰太狼
135,INFUPeKarw1604975827938,BzxTCFpJoo1605167479239,trex,28.00,28.0000,28.0,8.0,月卡,奥特曼,奥特曼
136,UzvZodUvuU1677743694672,uhhjDgqYwz1677721155880,trex,19.00,19.0000,19.0,6.0,月卡,,
137,RIZeIgXEER1678699050838,wtFpaPsrGa1678254448395,trex,1.00,0.3300,1.0,1.0,周卡,,
138,BQbEuiIRLv1659950336294,BSXmafdGgF1659951344674,trex,1.00,0.5000,1.0,1.0,周卡,,
139,COPAnoLLWG1605582357423,NvZvUgveye1658742264930,trex,19.00,6.3300,19.0,5.0,月卡,,迷你特工队
140,bAlxVCrUOE1672803001188,bkHXBHEHSd1672803042858,trex,55.00,36.6600,55.0,12.0,季卡,,
141,rSpHAEkwVa1606974409138,QVVUKsjDSB1618999083625,trex,28.00,28.0000,28.0,7.0,月卡,僵小鱼,奶龙、飞狗moco等
142,KsfNGOttkq1651055954296,qQFucoYHkt1662705913181,trex,1.00,0.2000,1.0,1.0,周卡,,
143,AKVzBJYbhO1687937013336,WGDvBHqoSK1660728042724,trex,1.00,1.0000,1.0,1.0,周卡,,
144,KhsqGHtMdf1618908958627,bkHXBHEHSd1672803042858,trex,55.00,36.6600,55.0,12.0,季卡,,喜羊羊与灰太狼
145,qPJsvqlZUj1617008833199,RISpVxzCeC1601006304441,trex,19.00,19.0000,19.0,1.0,月卡,小猪佩奇,小猪佩奇
146,RNtZjnvbgL1674970918256,bSSTUzKbeY1656385578647,trex,1.00,1.0000,1.0,1.0,周卡,,
147,LlzCBprKOR1604975827938,YFkScDxspr1605063106699,trex,28.00,11.2000,28.0,1.0,月卡,奥特曼,奥特曼
148,CDBSjIRQcU1600778534573,kzfhmdEMuL1682385921046,trex,1.00,0.5000,1.0,1.0,周卡,,猪猪侠
149,EtoGwzMkmD1673259220418,RqVmIZkcKv1690860161766,trex,69.00,34.5000,69.0,19.0,季卡,,
150,nmyUqVpBlr1614164299502,ibrSTyQxgz1631237577564,trex,22.00,22.0000,22.0,2.0,月卡,汪汪队,汪汪队
151,JEvmcVoEnb1670375560789,zwBlmWzWao1670379612197,trex,1.00,0.5000,1.0,1.0,周卡,,
152,AKVzBJYbhO1687937013336,dcFXccjtWN1670988679451,trex,19.00,6.3300,19.0,1.0,月卡,,
153,BiBNnoJqGV1624959230618,IMkWsGSwOO1663666745726,trex,1.00,0.5000,1.0,1.0,周卡,,萌鸡小队
154,OcRHGnjIyg1635844329997,LtvJiJfApf1619415453935,trex,9.90,9.9000,9.9,1.0,月卡,心奇爆龙战车,心奇爆龙战车
155,LNTFOyQTfC1661615799239,iKibTTGiih1601214717245,trex,59.00,29.5000,59.0,4.0,季卡,小猪佩奇,
156,EtoGwzMkmD1673259220418,RqVmIZkcKv1690860161766,trex,28.00,28.0000,28.0,3.0,月卡,,
157,NaWweyWfDJ1604458768696,MrErPixGJB1641353528865,trex,6.60,6.6000,6.6,4.0,月卡,精灵梦叶罗丽,精灵梦叶罗丽
158,bAlxVCrUOE1672803001188,bkHXBHEHSd1672803042858,trex,19.00,19.0000,19.0,4.0,月卡,,
159,DCCgjTnsHl1680766348954,ZnFxFIdRXu1680766852208,trex,19.00,19.0000,19.0,1.0,月卡,,
160,CYhoBYyJeQ1605063106699,qJRLeouhAI1604975827938,trex,28.00,27.9900,28.0,17.0,月卡,奥特曼,奥特曼
161,QtVxlMBLWz1688620704695,LsmBkVXxMp1665367449962,trex,1.00,1.0000,1.0,1.0,周卡,,
162,btPjEIxatS1654496187462,IJGoYOoFqL1625214668864,trex,1.00,1.0000,1.0,21.0,周卡,,
163,gpzttiXrjK1641437134605,BQbEuiIRLv1659950336294,trex,19.00,19.0000,19.0,1.0,月卡,,
164,vuvjOYRqRg1625796564355,tZhpIaPdSc1669121675716,trex,1.00,1.0000,1.0,1.0,周卡,,
165,dDEdsjICCZ1682499563524,fjHfNtkMSF1683188312819,trex,1.00,1.0000,1.0,1.0,周卡,,
166,acZMEasvmY1632971111574,cbdEmBEaHF1605063106699,trex,28.00,28.0000,28.0,4.0,月卡,奥特曼,奥特曼
167,RqVmIZkcKv1690860161766,HgCggrKDkP1629110445085,trex,1.00,0.5000,1.0,1.0,周卡,奶龙、飞狗moco等,
168,SwBUxuYVZI1680851333271,lxpEYSeLEn1641797451305,trex,1.00,1.0000,1.0,2.0,周卡,小品一家人,
169,dyILJGATFU1662601083618,DZnXRryQAT1601214717245,trex,1.00,1.0000,1.0,1.0,周卡,小猪佩奇,
170,NosPTzAGQh1622024069887,lNKHhwgTiz1622024069575,trex,1.00,0.7800,1.0,2.0,周卡,,
171,wMnmkDzCCx1687335278901,GgiLMrSyJz1689242116239,trex,89.00,117.0000,89.0,2.0,季卡,,
172,jgZRYbESmP1659594866556,BouTojmQdv1680241869944,trex,89.00,89.0000,89.0,6.0,季卡,,
173,NvZvUgveye1658742264930,ILWycbVHlc1631860202278,trex,22.00,22.0000,22.0,3.0,月卡,迷你特工队,
174,WOowtNBzfQ1652955955322,WRFrjWKnvL1610507883957,trex,6.60,3.3000,6.6,1.0,月卡,,
175,TWLFYaSwzS1615262192462,dNUkdLPkci1585650051748,trex,22.00,7.3300,22.0,2.0,月卡,超级宝贝JoJo,超级宝贝JoJo
176,bqCcosRLEp1662015947672,QBKzUczmwj1662015864572,trex,1.00,0.6600,1.0,3.0,周卡,,
177,COPAnoLLWG1605582357423,UPdHIgVdHs1682506060206,trex,19.00,12.6600,19.0,1.0,月卡,,迷你特工队
178,,iRdDTVcUVg1611236386907,,,59.0000,,,,奶龙、飞狗moco等,猪猪侠
179,,tFcQJWZtHz1604545090958,,,28.0000,,,,,猪猪侠
180,,TWLFYaSwzS1615262192462,,,3.6700,,,,超级宝贝JoJo,猪猪侠
181,,IMkWsGSwOO1663666745726,,,0.5000,,,,,猪猪侠
182,,VbHulUqOGv1604975827938,,,28.0000,,,,奥特曼,猪猪侠
183,,VbHulUqOGv1604975827938,,,28.0000,,,,奥特曼,猪猪侠
184,,VbHulUqOGv1604975827938,,,28.0000,,,,奥特曼,猪猪侠
185,,dNUkdLPkci1585650051748,,,69.0000,,,,超级宝贝JoJo,猪猪侠
186,,EcjztyVhJg1689303456414,,,9.5000,,,,,猪猪侠
187,ysyPdbRHxJ1655720597049,cJkHbeOZrt1614159028262,trex,229.00,229.0000,229.0,2.0,年卡,汽车世界,
188,ysyPdbRHxJ1655720597049,wdIZnLoVAZ1637670631371,trex,28.00,28.0000,28.0,2.0,月卡,汽车世界,
189,UpLHLFCMQR1668147330045,yGMtUHZrtm1653985236117,trex,19.00,19.0000,19.0,1.0,月卡,,
190,TxwHaxEqjm1678941730402,cJkHbeOZrt1614159028262,trex,22.00,22.0000,22.0,3.0,月卡,汽车世界,
191,PUEqZzWwfh1641870919728,YsPThLbuEh1641348662688,trex,1.00,1.0000,1.0,1.0,周卡,汽车世界,咚咚玩具屋
192,wdIZnLoVAZ1637670631371,DqfrvgrVIy1628663920538,trex,28.00,7.0000,28.0,19.0,月卡,汽车世界,汽车世界
193,ljBQVzHtwm1604037148198,KIXfInTBJn1666338977320,replace,19.00,19.0000,19.0,1.0,月卡,,汽车世界
194,cJkHbeOZrt1614159028262,QtVxlMBLWz1688620704695,replace,19.00,9.5000,19.0,2.0,月卡,,汽车世界
195,OZGFxJdCEA1604037148197,TjFdOvcZFC1670400470834,replace,9.90,9.9000,9.9,1.0,月卡,,汽车世界
196,LYulscCVwp1635399350922,MmKQGSiPkf1648617256421,trex,1.00,1.0000,1.0,2.0,周卡,,奥特曼
197,IMkWsGSwOO1663666745726,YwWczrljLP1652836597044,trex,19.00,19.0000,19.0,1.0,月卡,,
198,jjWRByWdXY1600773805774,MrErPixGJB1641353528865,trex,1.00,1.0000,1.0,1.0,周卡,精灵梦叶罗丽,精灵梦叶罗丽
199,qJRLeouhAI1604975827938,BzxTCFpJoo1605167479239,trex,1.00,1.0000,1.0,1.0,周卡,奥特曼,奥特曼
200,qJRLeouhAI1604975827938,dmyweJkfxK1605063106699,trex,1.00,1.0000,1.0,1.0,周卡,奥特曼,奥特曼
201,EXsGgDYPlD1602841597268,zZQgmfCnXy1604043122785,trex,19.00,9.5000,19.0,1.0,月卡,芭比,芭比
202,OFhoNZDuFa1600773805774,MrErPixGJB1641353528865,trex,1.00,0.3300,1.0,5.0,周卡,精灵梦叶罗丽,精灵梦叶罗丽
203,dcvzdwivpy1650435646286,npGsKFjoSl1673427682482,trex,6.60,6.6000,6.6,4.0,月卡,,巴啦啦小魔仙
204,LnayOICMbZ1601006304441,iKibTTGiih1601214717245,trex,89.00,29.6700,78.0,4.0,季卡,小猪佩奇,小猪佩奇
205,YLdPMFfCYq1641886501615,qMLOibUotU1677117702847,trex,9.90,9.9000,9.9,1.0,月卡,,
206,EcjztyVhJg1689303456414,djHlCfdZXG1626405643666,trex,9.90,9.9000,9.9,1.0,月卡,,
207,FOTQulRtlz1627630107046,HehoRPwhOF1627630107177,trex,28.00,8.0000,28.0,8.0,月卡,,
208,dDEdsjICCZ1682499563524,oeXiwxCEmm1682499792605,trex,28.00,14.0000,28.0,3.0,月卡,,
209,XfipXUtLuc1627373755906,qotbKsuTfl1604641798409,trex,28.00,18.6600,28.0,2.0,月卡,咪好一家,咪好一家
210,HTzlrpzuJO1683191028027,TYNPSAXJJg1683612665555,trex,59.00,59.0000,59.0,3.0,季卡,,
211,sNbdTqYJsC1621418322359,TGvvkhovkc1657259001876,trex,55.00,18.3300,55.0,2.0,季卡,,小布点乐园
212,QfdSXacsPi1617853623866,CIuaLrtBIw1617853623583,trex,1.00,1.0000,1.0,1.0,周卡,汪汪队,汪汪队
213,dcFXccjtWN1670988679451,sTuXtscHGg1660283881528,trex,19.00,19.0000,19.0,1.0,月卡,,
214,ndfGBXgXnD1681702541094,DzJaWsUnmj1682498374804,trex,1.00,1.0200,1.0,2.0,周卡,,
215,nYEMplklQc1602841597268,muVrHJhTpq1606285108234,trex,28.00,28.0000,28.0,2.0,月卡,芭比,芭比
216,lNKHhwgTiz1622024069575,TyfqYkdGNE1673000446961,trex,1.00,1.0000,1.0,1.0,周卡,,
217,iDaVcrduLW1623226260255,bOXjUMSMOO1612259931993,trex,1.00,1.0000,1.0,1.0,周卡,猫和老鼠,猫和老鼠
218,fzhzmAuQsT1659079684602,UpCHNQQgDe1673404548848,trex,19.00,9.5000,19.0,1.0,月卡,,
