,aid,title,year,types,themes_cleaned,scores_cleaned,emotion_tags_cut,emotion_scores_cut,emo_size,theme_size
37,v2098lbuihuqs11,复仇者联盟4：终局之战,2019,['奇幻' '冒险' '科幻' '动作'],"['团结与支持', '牺牲和奉献', '勇气与冒险']","[10.0, 9.0, 9.0]","['绝望', '失落']","[4.0, 4.0]",2,3
38,mzc00200o5otmir,鬼吹灯之湘西密藏,2020,['奇幻' '冒险' '喜剧' '动作'],"['探险与冒险', '奇幻与超自然', '历史与文明']","[10.0, 9.0, 8.0]","['喜悦', '乐观']","[3.6, 3.2]",2,3
39,zr5a67l333ehzu9,哪吒之魔童降世,2019,['搞笑' '剧情' '动作' '奇幻' '喜剧' '亲情' '动画'],"['成长与自我发现', '家庭与团圆', '勇气与冒险']","[10.0, 9.0, 8.0]",['友爱'],[3.2],1,3
40,bzg57zo8fatq3mb,天空之城,1986,['奇幻' '冒险' '动画' '科幻'],"['环境与自然', '科技与未来', '勇气与冒险']","[10.0, 9.0, 8.0]",['友爱'],[3.2],1,3
41,mzc00200ga2o6fs,守岛人,2021,['传记' '剧情'],"['勇气与冒险', '忠诚与承诺', '环境与自然']","[10.0, 9.0, 8.0]","['敬意', '鼓舞']","[4.5, 4.0]",2,3
42,3v5ksc6jiwskqw4,倒霉特工熊,2017,['冒险' '喜剧' '动画' '家庭'],"['成长与自我发现', '友谊', '勇气与冒险']","[10.0, 9.0, 8.0]","['友爱', '欢乐']","[4.5, 4.0]",2,3
43,2rgkj31016tqmhf,熊出没·原始时代,2019,['搞笑' '奇幻' '喜剧' '冒险' '动画'],"['环保意识', '动物与人类和谐共处', '成长与自我发现']","[10.0, 9.0, 8.0]","['欢乐', '喜悦', '友爱']","[4.5, 4.0, 3.5]",3,3
44,h05z5bsjxw544er,前任3：再见前任,2017,['喜剧' '爱情' '搞笑'],"['真爱与选择', '成长与自我发现', '友谊']","[10.0, 9.0, 8.0]","['欢乐', '喜悦', '幽默']","[9.0, 8.0, 7.0]",3,3
45,wi8e2p5kirdaf3j,战狼2,2017,['战争' '动作'],"['牺牲和奉献', '忠诚与承诺', '勇气与冒险']","[10.0, 9.0, 8.0]","['壮志', '敬意']","[4.5, 4.0]",2,3
46,qee75hz1x7m6n3s,变形金刚5：最后的骑士,2017,['冒险' '科幻' '动作'],"['科技与未来', '友谊', '忠诚与承诺']","[9.0, 8.0, 8.0]",[],[],0,3
47,mzc00200pnlxrd3,超级马力欧,2022,['爱情' '奇幻' '喜剧' '科幻' '冒险' '动画'],"['友情与成长', '勇气与冒险', '忠诚与团结']","[10.0, 9.0, 9.0]",['喜悦'],[11111111.0],1,3
48,mzc00200l3dp7jj,搬山道人之落天荒,,['冒险' '动作'],"['探索与冒险', '勇气与冒险', '信任与背叛']","[10.0, 10.0, 9.0]","['诡异', '压抑']","[3.06, 2.72]",2,3
49,mzc002007nv9vz9,超能一家人,2022,,"['亲情与成长', '家庭关系']","[10.0, 9.0]","['欢乐', '愤怒']","[3.2, 2.8]",2,2
50,4ins96adw2a5rfv,精英部队2：大敌当前,2010,['惊悚' '剧情' '犯罪' '动作'],"['政治与权力', '犯罪与黑帮', '忠诚与承诺']","[10.0, 9.0, 8.0]","['残暴', '荣耀', '痛苦', '敬意', '压迫']","[4.5, 4.5, 4.0, 4.0, 3.5]",5,3
51,d6mvesrx6j2ux4x,致命黑兰,2011,['惊悚' '剧情' '犯罪' '动作'],"['复仇与救赎', '信任与背叛', '暗杀与黑暗世界']","[10.0, 9.0, 8.0]",[],[],0,3
52,7casb7nes159mrl,红海行动,2018,['战争' '动作'],"['勇气与冒险', '团结与支持', '生死抉择']","[9.0, 9.0, 8.0]",['爱国'],[4.5],1,3
53,mzc00200s86e0j8,蜘蛛侠：纵横宇宙（上）,2022,,"['青春与成长', '友谊']","[9.0, 8.0]","['壮志', '鼓舞']","[2.97, 2.64]",2,2
54,mzc002003s3ah9o,蛇灾：蛇岛惊魂,2020,['惊悚' '冒险' '灾难' '亲情'],"['生死抉择', '环境与自然']","[10.0, 9.0]",[],[],0,2
55,1nawx3148rx2apm,熊出没之雪岭熊风,2015,['冒险' '喜剧' '动画' '家庭'],"['成长与自我发现', '牺牲精神', '环保意识']","[10.0, 9.0, 8.0]",['欢乐'],[2.97],1,3
56,mzc00200ky6sung,幸存者1937,2021,['战争'],"['战争与和平', '历史与文明', '勇气与冒险']","[10.0, 9.0, 8.0]",[],[],0,3
57,mzc00200ylulwyn,冷血悍将,2021,['惊悚' '剧情' '动作'],"['复仇与救赎', '信任与背叛', '黑暗世界']","[10.0, 9.0, 8.0]",[],[],0,3
58,53el1qwq1gnm5fn,熊出没之熊心归来,2016,['冒险' '喜剧' '儿童' '动画'],"['环保意识', '友谊', '勇气与冒险']","[10.0, 9.0, 8.0]",[],[],0,3
59,mzc00200b4jsdq6,人生路不熟,,['剧情' '喜剧'],"['家庭与团圆', '冲突与和解', '亲情与成长']","[10.0, 9.0, 9.0]",['欢乐'],[3.6],1,3
60,mzc00200grqdp0c,007：无暇赴死,2021,['惊悚' '冒险' '动作'],"['忠诚与承诺', '信任', '牺牲和奉献']","[10.0, 9.0, 8.0]",[],[],0,3
61,kkpdn0lz6drhxz8,海绵宝宝,2015,['冒险' '喜剧' '动画' '家庭'],"['友谊', '成长与自我发现', '乐观向上']","[10.0, 9.0, 8.0]",['欢乐'],[5.4],1,3
62,mzc002001clmhji,汪汪队立大功之超能救援,2020,['冒险' '动画' '儿童' '家庭'],"['团队合作', '成长与自我发现', '勇敢面对困境']","[10.0, 9.0, 8.0]",[],[],0,3
63,dwt56ndspm9xm89,变形金刚,2007,['冒险' '科幻' '动作'],"['自我与成长', '友谊', '科技与未来']","[10.0, 9.0, 9.0]",[],[],0,3
64,c949qjcugx9a7gh,毒液：致命守护者,2018,['惊悚' '搞笑' '科幻' '动作'],"['自我与成长', '勇气与冒险', '团队合作']","[10.0, 9.0, 8.0]",[],[],0,3
65,0k89cbc5x5j5q4o,超体,2014,['惊悚' '科幻' '动作'],"['科技与未来', '自我与成长', '人工智能']","[9.0, 8.0, 8.0]",[],[],0,3
66,kl8z1fq87tfr5o7,血性山谷,2001,['战争'],"['勇气与冒险', '团结与支持', '忠诚与承诺']","[10.0, 10.0, 10.0]",[],[],0,3
67,06f338d6r1wa3my,冰雪奇缘2,2019,['奇幻' '歌舞' '喜剧' '冒险' '音乐' '动画'],"['自我成长与发现', '姐妹情谊', '勇敢面对困境']","[10.0, 9.0, 9.0]","['欢乐', '幸福']","[5.0, 4.5]",2,3
68,gwz8nqvc78oexgm,九品芝麻官,1994,['喜剧' '搞笑' '古装'],"['正义与邪恶', '反腐倡廉']","[9.0, 8.0]",['欢乐'],[10.0],1,2
69,ly31exdvunw22uc,海绵宝宝历险记,2004,['搞笑' '喜剧' '家庭' '冒险' '动画'],"['成长与自我发现', '友谊', '正义与邪恶']","[10.0, 9.0, 8.0]",[],[],0,3
70,mzc00200qfarw6d,金刚川,2020,['战争' '剧情' '历史' '动作'],"['牺牲和奉献', '勇气与冒险', '忠诚与团结']","[10.0, 9.0, 9.0]",['爱国'],[3.2],1,3
71,6xzlbrzswkuo3wq,蜘蛛侠：平行宇宙,2018,['冒险' '动画' '科幻' '动作'],"['多元宇宙', '团队合作', '勇气与冒险']","[10.0, 9.0, 8.0]","['喜悦', '悲伤']","[3.5, 3.0]",2,3
72,xex6po9q55akzsr,敢死队,2010,['犯罪' '惊悚' '冒险' '动作'],"['团队合作', '勇气与冒险', '忠诚与承诺']","[10.0, 9.0, 8.0]",[],[],0,3
73,jbz487z0v6b23gm,机械师2：复活,2016,['惊悚' '冒险' '犯罪' '动作'],"['暗杀与黑暗世界', '复仇与救赎']","[9.0, 8.0]",[],[],0,2
74,mzc00200kwccznz,毒海风云,2021,['犯罪' '动作'],"['生死抉择', '犯罪与黑帮', '信任与背叛']","[9.0, 8.0, 8.0]",[],[],0,3
75,mzc002004tg5y8n,深海狂鲨3,2020,['恐怖' '科幻' '动作'],"['生存与挑战', '灾难与生存', '勇气与冒险']","[10.0, 9.0, 8.0]",[],[],0,3
76,9f8tpq2gly9p5ts,八佰,2020,['战争' '剧情' '历史'],"['牺牲和奉献', '忠诚与承诺', '团结与支持']","[10.0, 9.0, 8.0]",['爱国'],[3.3],1,3
77,gz9q7kd8wviwkxv,你的名字。,2016,['剧情' '动画' '爱情'],"['青春与成长', '命运与选择', '时空错位']","[10.0, 9.0, 8.0]","['振奋', '喜悦', '欢乐', '感动', '悲伤', '温馨', '哀思', '鼓舞', '失落']","[3.6, 3.2, 2.8, 2.7, 2.7, 2.4, 2.4, 2.1, 2.1]",9,3
78,mzc002005crc78s,钟馗伏妖,2022,['奇幻' '惊悚' '恐怖'],"['神话与传说', '阴阳冲突', '灵异现象']","[10.0, 9.0, 8.0]",[],[],0,3
79,7fjv56lqblm6jhd,熊出没·变形记,2018,['亲情' '冒险' '喜剧' '动画'],"['环保意识', '团队合作', '成长与自我发现']","[10.0, 9.0, 8.0]","['温馨', '伤心']","[3.2, 2.1]",2,3
80,msbt3iret5tgwu8,赌神,1989,['剧情' '喜剧' '动作'],"['信任与背叛', '忠诚与承诺', '勇气与冒险']","[10.0, 9.0, 8.0]",[],[],0,3
81,tbs8gg4bepxyp2y,敢死队3,2014,['犯罪' '惊悚' '冒险' '动作'],"['团队合作', '勇气与冒险', '忠诚与承诺']","[10.0, 9.0, 9.0]",[],[],0,3
82,am6jxwt5rzq6kba,变形金刚4：绝迹重生,2014,['冒险' '科幻' '动作'],"['人类与机器人的关系', '科技与未来']","[9.0, 8.0]",[],[],0,2
83,mzc00200wo66s5s,勇士连,2022,['战争' '剧情' '历史' '动作'],"['忠诚与承诺', '牺牲和奉献', '勇气与冒险']","[10.0, 9.0, 9.0]",[],[],0,3
84,do8jr85z25fsq2v,笔仙2,2013,['悬疑' '惊悚' '剧情' '恐怖'],"['灵异现象', '阴阳冲突', '真相与谎言']","[10.0, 9.0, 8.0]",[],[],0,3
85,mzc00200md6p11k,反贪风暴5：最终章,2021,['犯罪' '动作'],"['犯罪与黑帮', '正义与邪恶']","[9.0, 8.0]",[],[],0,2
86,mzc00200ydm1qe5,越界,2021,['惊悚' '恐怖'],"['生死抉择', '困境与挑战', '勇敢面对困境']","[10.0, 9.0, 8.0]",[],[],0,3
87,v6nwjtseqb43ots,禁闭岛,2010,['悬疑' '惊悚' '剧情'],"['心理与健康', '真相与谎言', '信任与背叛']","[10.0, 9.0, 8.0]",[],[],0,3
88,v9eycg48tq76x13,魁拔,2011,['动作' '奇幻' '儿童' '冒险' '动画'],"['文化与传承', '神话与传说', '勇气与冒险']","[10.0, 9.0, 8.0]",[],[],0,3
89,mzc0020031rztx1,军火大劫案,2022,['悬疑' '动作'],"['忠诚与承诺', '勇气与冒险', '生死抉择']","[10.0, 9.0, 8.0]",[],[],0,3
90,yzbcluqjqrs0bbw,举起手来,2003,['战争' '喜剧' '搞笑'],"['勇气与冒险', '忠诚与团结', '冲突与和解']","[10.0, 9.0, 8.0]",['爱国'],[3.2],1,3
91,yjko7f1b1muwdhe,致命魔术,2006,['剧情' '奇幻' '科幻' '悬疑' '惊悚'],"['信任与背叛', '牺牲与奉献']","[10.0, 9.0]",[],[],0,2
92,mzc00200tkvwr0s,海底小纵队：洞穴大冒险,2020,['冒险' '喜剧' '动画'],"['环境与自然', '友谊', '勇气与冒险']","[10.0, 9.0, 8.0]","['欢乐', '友爱']","[4.5, 4.0]",2,3
93,mzc00200c2weo26,无名,2022,['悬疑' '剧情' '历史'],"['忠诚与承诺', '牺牲和奉献', '历史与文明']","[10.0, 9.0, 8.0]",['爱国'],[3.3],1,3
94,mzc00200s5izod5,深宅迷案,2021,['惊悚' '恐怖'],"['神秘与恐惧', '灵异现象', '家族秘密']","[10.0, 9.0, 8.0]",[],[],0,3
95,uiq0rxuywu508qr,功夫,2004,['搞笑' '动作' '奇幻' '喜剧' '犯罪'],"['自卑与自信', '勇敢面对困境', '邻里关系']","[10.0, 9.0, 8.0]",[],[],0,3
96,yri5vp8ou61cypl,银河护卫队3,2022,['动作' '惊悚' '喜剧' '科幻' '冒险'],"['家庭与团圆', '牺牲与奉献', '团队合作']","[9.5, 9.0, 8.5]",[],[],0,3
97,mzc002005bx1q2u,王牌女保镖之极速守护,2021,['剧情' '动作'],"['女性力量与平等', '勇气与冒险', '自信']","[10.0, 9.0, 8.0]","['敬意', '痛苦']","[4.5, 4.5]",2,3
98,ndp227v6fdlk82h,侦察兵,1974,['战争'],"['团队合作', '忠诚与承诺', '勇气与冒险']","[9.0, 8.0, 8.0]",['爱国'],[5.0],1,3
99,vel99iky5q7xjwt,渡江侦察记,1954,['战争' '剧情'],"['战争与和平', '忠诚与承诺', '团队合作']","[10.0, 9.0, 8.0]",[],[],0,3
100,zm91ry6rctntum8,熊出没·奇幻空间,2017,['搞笑' '奇幻' '儿童' '家庭' '冒险' '动画'],"['环保意识', '友谊', '勇敢面对困境']","[9.0, 8.0, 8.0]","['欢乐', '快乐', '温馨']","[5.0, 4.5, 4.0]",3,3
101,e3pdjwjjbbcmsow,唐伯虎点秋香,1993,['喜剧' '搞笑' '爱情' '古装'],"['忠诚与团结', '真爱与选择']","[10.0, 9.0]",['欢乐'],[4.5],1,2
102,mzc00200ckwg9tt,海底小纵队：火焰之环,2021,['奇幻' '冒险' '动画'],"['环保意识', '团队合作', '勇敢面对困境']","[10.0, 9.0, 9.0]",[],[],0,3
103,mzc00200ad2x0iv,完美的杀手,2017,['悬疑' '惊悚' '剧情' '犯罪'],"['复仇与救赎', '信任与背叛', '暗杀与黑暗世界']","[9.0, 9.0, 8.0]","['悲痛', '淡然', '失落', '绝望']","[5.0, 4.5, 4.5, 4.0]",4,3
104,mzc0020077pz5qf,狂虎危城,2020,['动作' '奇幻' '灾难' '亲情' '武侠'],"['家庭与团圆', '自我与成长', '忠诚与团结']","[10.0, 9.0, 8.0]",[],[],0,3
105,mzc00200vz1bv25,精灵旅社4：变身大冒险,2022,['奇幻' '冒险' '喜剧' '动画'],"['友情与成长', '家庭与团圆', '探索与冒险']","[10.0, 9.0, 8.0]",['欢乐'],[5.4],1,3
106,e5qmd3z5jr0uigk,赌侠,1990,['剧情' '喜剧' '动作' '搞笑'],"['成长与自我发现', '友谊', '忠诚与团结']","[10.0, 9.0, 9.0]",['欢乐'],[5.4],1,3
107,vehyv3t0ith3r55,变形金刚2,2009,['科幻' '冒险' '动作'],"['人类与机器人的关系', '科技与未来', '英雄与责任']","[10.0, 9.0, 8.0]","['壮志', '荣耀', '痛苦']","[4.5, 4.0, 3.5]",3,3
108,f0xkmuqkpmxku1i,碟中谍,1996,['悬疑' '惊悚' '冒险' '动作'],"['信任与背叛', '团队合作', '信任与背叛']","[10.0, 9.0, 8.0]",[],[],0,3
109,gl4xpb4qp1lz30j,小马宝莉大电影,2017,['歌舞' '喜剧' '儿童' '家庭' '冒险' '音乐' '动画'],"['团结', '勇气与冒险', '团队合作']","[10.0, 9.0, 9.0]","['快乐', '欢乐', '友爱']","[10.0, 9.0, 8.0]",3,3
110,mzc00200np6jw8p,个十百千万,,['纪录片'],['团队合作'],[10.0],['爱国'],[5.0],1,1
111,9uu93gnec8z5x76,1917,2019,['战争' '剧情'],"['生死抉择', '勇气与冒险', '战争与和平']","[10.0, 9.0, 8.0]",[],[],0,3
112,mzc00200nghghgg,刺猬索尼克2,2022,['动作' '喜剧' '科幻' '冒险' '动画'],"['友情与成长', '团队合作', '英雄成长']","[9.0, 8.0, 8.0]",[],[],0,3
113,vjrvzv3s517g6m8,寻梦环游记,2017,['奇幻' '喜剧' '亲情' '家庭' '冒险' '音乐' '动画'],"['文化与传承', '自我与成长', '家庭与团圆']","[10.0, 9.0, 9.0]",['欢乐'],[3.5],1,3
114,1bnyfttijufe0cq,战狼,2015,['战争' '动作'],"['家国情怀', '忠诚与团结', '勇气与冒险']","[10.0, 9.0, 8.0]",[],[],0,3
115,i6vx35nh3gq7j53,夜战风云,2017,['犯罪' '动作' '搞笑'],"['警匪对决', '正义与邪恶', '团队合作']","[10.0, 9.0, 8.0]",[],[],0,3
116,fse52rd4klx7qn2,大话西游之大圣娶亲·加长纪念版,1995,['爱情' '动作' '奇幻' '喜剧' '古装'],"['信任与背叛', '真爱与选择', '信任与背叛']","[10.0, 9.0, 9.0]","['幽默', '喜悦', '欢笑']","[10.0, 9.0, 8.0]",3,3
117,mzc00200wq4mcuu,新灰姑娘2,2022,['奇幻' '动画'],"['牺牲精神', '成长与自我发现', '勇气与冒险']","[10.0, 9.0, 8.0]",[],[],0,3
118,mzc00200up6yifl,西游记之七十二变,,['奇幻' '喜剧' '动画'],"['成长与蜕变', '友谊', '勇气与冒险']","[10.0, 9.0, 8.0]","['欢乐', '喜悦', '焦虑', '紧张']","[6.0, 4.8, 4.2, 2.8]",4,3
119,mzc00200prn37on,卧鼠藏虫,2022,['剧情' '喜剧'],"['兄弟关系', '身份对调', '企业抢夺战']","[10.0, 9.0, 8.0]","['鼓舞', '喜悦', '欢笑', '焦虑', '失落', '愤怒']","[4.5, 4.0, 3.5, 3.0, 2.5, 2.0]",6,3
120,ilkq0th65hfzzt1,龙神太子,1992,['喜剧' '动作'],"['自我与成长', '勇气与冒险', '真诚与友谊']","[10.0, 9.0, 8.0]","['欢乐', '欢笑']","[4.5, 3.5]",2,3
121,mzc00200zsf2rte,东溪突击,2020,['战争' '历史'],"['团队合作', '牺牲和奉献', '忠诚与承诺']","[10.0, 9.0, 8.0]","['荣耀', '爱国', '压迫']","[3.6, 3.2, 2.8]",3,3
122,9ce6mqp44m5jj5x,噬人鲨大战食人鳄,2010,['灾难' '喜剧'],"['人与自然的关系', '生存与挑战', '环境与自然']","[10.0, 9.0, 8.0]",['欢乐'],[2.31],1,3
123,mzc00200076t50s,隐形人,2020,['恐怖' '剧情' '科幻' '悬疑' '惊悚' '犯罪'],"['女性力量与平等', '科技与未来', '真相与谎言']","[10.0, 9.0, 8.0]","['意外', '压抑', '焦虑']","[8.0, 8.0, 5.6]",3,3
124,mzc002004rm13qi,巨兽岛,2021,['冒险' '科幻'],"['环境与自然', '人类与自然的关系', '勇气与冒险']","[9.0, 8.0, 8.0]",[],[],0,3
125,3xkxy6w6cdj5bh1,环太平洋,2013,['冒险' '灾难' '科幻' '动作'],"['团队合作', '生存与挑战', '人类与自然的关系']","[10.0, 9.0, 8.0]",[],[],0,3
126,mzc00200fk7ihvs,天气之子,2019,['奇幻' '动画' '爱情'],"['环境与自然', '青春与成长', '爱情与牺牲']","[10.0, 9.0, 8.0]",['治愈'],[4.0],1,3
127,i43tfclvbhiy0kn,大黄蜂,2018,['冒险' '科幻' '动作'],"['人机合作', '勇气与冒险', '团队合作']","[10.0, 9.0, 8.0]","['壮志', '无助', '焦虑']","[4.8, 4.2, 2.4]",3,3
128,mzc00200drnzvc7,老板娘2无间潜行,2022,['犯罪' '剧情' '爱情' '动作'],"['复仇与救赎', '信任与背叛', '女性力量与平等']","[10.0, 9.0, 8.0]",[],[],0,3
129,lpc2ry21etiyhmn,变形金刚3,2011,['冒险' '科幻' '动作'],"['人类与机器人的关系', '勇气与冒险', '团队合作']","[10.0, 9.0, 8.0]","['壮志', '紧张']","[4.0, 4.0]",2,3
