,aid,title,year,types,tags_theme,scores_theme,theme_tag,tags_emotion,scores_emotion
10,mzc00200ksua6tm,汪汪队立大功大电影,2021,['冒险' '喜剧' '动画'],"['儿童与成长', '友谊', '团队合作', '勇气与冒险', '教育', '自信']","[10.0, 9.0, 8.0, 7.0, 6.0, 5.0]","['儿童', '成长', '友谊', '团队合作', '勇气', '冒险', '教育', '自信']","['勇气', '友爱', '希望']","[5.4, 4.8, 4.2]"
11,piegqd6mz97tr8b,机械师,2011,['剧情' '动作' '悬疑' '惊悚' '犯罪'],"['复仇与救赎', '父子/父女', '信任与背叛', '自我发现', '暗杀与黑暗世界']","[10.0, 9.0, 8.0, 6.0, 5.0]","['复仇', '救赎', '父子/父女', '信任', '背叛', '自我发现', '暗杀与黑暗世界']","['复仇', '勇气', '愤怒']","[4.5, 4.0, 3.5]"
12,mzc00200hblk6rw,铃芽之旅,,['动画'],"['青春与成长', '探索与冒险', '神秘与超自然', '友谊']","[9.0, 8.0, 8.0, 7.0]","['青春', '成长', '探索', '冒险', '神秘与超自然', '友谊']","['勇气', '好奇', '希望', '成长', '恐惧', '探险', '焦虑', '回忆', '危险']","[3.6, 3.2, 2.8, 2.7, 2.7, 2.4, 2.4, 2.1, 2.1]"
13,mzc00200o4emst0,熊出没·狂野大陆,2021,['喜剧' '动画' '科幻'],"['环境与自然', '友谊', '成长与挑战', '勇气与冒险']","[10.0, 9.0, 8.0, 7.0]","['环境', '自然', '友谊', '成长', '挑战', '勇气', '冒险']","['欢乐', '喜悦', '友爱', '背叛']","[7.0, 6.3, 5.6, 2.7]"
14,m01ss5q8ff48zr1,山炮进城,2015,['剧情' '喜剧' '搞笑'],"['成长与自我发现', '真诚与友谊', '文化冲突', '适应与融入', '勇敢面对困境']","[9.0, 8.0, 7.0, 6.0, 5.0]","['成长与自我发现', '真诚', '友谊', '文化冲突', '适应', '融入', '勇敢面对困境']","['勇气', '希望', '鼓舞']","[9.0, 8.0, 7.0]"
15,mzc002002cki9m7,萌鸡小队：萌闯新世界,2022,['冒险' '动画' '儿童' '家庭'],"['环境与自然', '勇敢面对困境', '成长与自我发现', '适应与融入', '真诚与友谊']","[10.0, 9.0, 8.0, 7.0, 6.0]","['环境', '自然', '勇敢面对困境', '成长与自我发现', '适应', '融入', '真诚', '友谊']","['勇气', '希望', '鼓舞', '好奇', '焦虑', '和谐', '失落', '幽默', '无助']","[3.6, 3.2, 2.8, 1.4, 1.4, 1.2, 1.2, 1.0, 1.0]"
16,mzc00200975hawm,银行家,2020,['传记' '剧情'],"['信任与背叛', '勇敢面对困境', '真诚与友谊', '奉献与牺牲', '家庭与团圆']","[9.0, 8.0, 7.0, 6.0, 5.0]","['信任', '背叛', '勇敢面对困境', '真诚', '友谊', '奉献', '牺牲', '家庭', '团圆']","['回忆', '遗憾', '压抑', '无助', '勇气', '希望', '鼓舞']","[5.0, 5.0, 4.5, 4.0, 3.6, 3.2, 2.8]"
17,mzc00200sw6i0jc,长津湖之水门桥,2022,['战争' '剧情' '历史'],"['勇气与冒险', '团结与支持', '忠诚与承诺', '政治与权力', '战争与和平', '历史与文明']","[9.0, 9.0, 8.0, 8.0, 7.0, 6.0]","['勇气', '冒险', '团结', '支持', '忠诚', '承诺', '政治', '权力', '战争', '和平', '历史', '文明']","['勇气', '壮志', '荣耀', '淡然', '悲剧', '回忆', '沉重', '自省', '哀思']","[3.6, 3.2, 2.8, 2.7, 2.7, 2.4, 2.4, 2.1, 2.1]"
18,mzc00200mbkh5o2,嫌疑人之长夜将尽,2021,['剧情' '犯罪'],"['犯罪与黑帮', '心理与健康', '信任']","[10.0, 9.0, 8.0]","['犯罪', '黑帮', '心理', '健康', '信任']","['平静', '愤怒', '淡然', '背叛', '回忆', '悲剧', '勇气', '希望', '敬意']","[3.6, 3.6, 3.2, 3.2, 2.8, 2.8, 2.4, 2.1, 1.8]"
19,fhe2h7sop52qzza,疯狂动物城,2016,['搞笑' '喜剧' '冒险' '励志' '动画'],"['社会平等', '友谊', '勇敢面对困境', '适应与融入', '成长与自我发现']","[10.0, 9.0, 8.0, 6.0, 5.0]","['社会平等', '友谊', '勇敢面对困境', '适应', '融入', '成长与自我发现']","['喜悦', '友爱']","[4.0, 3.5]"
20,mzc002002s82ed8,念念相忘,,['爱情'],"['成长与自我发现', '真诚与友谊', '青春与成长', '真爱与选择']","[10.0, 9.0, 8.0, 7.0]","['成长与自我发现', '真诚', '友谊', '青春', '成长', '真爱', '选择']","['浪漫', '回忆', '遗憾']","[3.6, 2.1, 2.1]"
21,mzc00200jd5hfur,血战狙击岭,2021,['战争' '剧情' '动作'],"['勇气与冒险', '忠诚与团结', '生死与和平', '信念与坚持', '勇敢面对困境']","[10.0, 9.0, 8.0, 7.0, 6.0]","['勇气', '冒险', '忠诚', '团结', '生死', '和平', '信念', '坚持', '勇敢面对困境']","['勇气', '荣耀', '壮志', '回忆', '焦虑', '敬意', '紧张', '恐惧']","[4.5, 4.0, 3.5, 0.8, 0.8, 0.6, 0.6, 0.4]"
22,mzc00200mvqnoil,我经过风暴,2022,['剧情' '家庭'],"['女性力量与平等', '家庭矛盾', '法律与正义', '勇敢面对困境', '亲情疏远与和解', '信任与背叛']","[10.0, 9.0, 8.0, 7.0, 6.0, 5.0]","['女性力量与平等', '家庭矛盾', '法律', '正义', '勇敢面对困境', '亲情疏远与和解', '信任', '背叛']","['压抑', '无助', '绝望', '抑郁', '勇气', '希望']","[6.0, 5.4, 4.8, 4.2, 3.6, 3.2]"
23,mzc00200qpkjqvp,我们的冬奥,2022,['剧情' '动画'],"['团结与支持', '勇敢面对困境', '文化与传承', '童年回忆', '冒险与探险', '运动精神']","[10.0, 9.0, 8.0, 7.0, 6.0, 5.0]","['团结', '支持', '勇敢面对困境', '文化', '传承', '童年回忆', '冒险', '探险', '运动精神']","['欢乐', '友爱', '勇气']","[4.5, 4.0, 3.5]"
24,mzc002008v8rka3,流浪地球2,2023,['灾难' '冒险' '科幻'],"['环境与自然', '灾难与生存', '团结与支持', '技术与未来', '勇气与冒险', '家庭与团圆']","[10.0, 10.0, 9.0, 9.0, 9.0, 9.0]","['环境', '自然', '灾难', '生存', '团结', '支持', '技术', '未来', '勇气', '冒险', '家庭', '团圆']","['勇气', '希望', '壮志', '焦虑', '危机', '团结', '恐惧']","[3.6, 3.2, 2.8, 2.7, 2.4, 2.1, 2.1]"
25,mzc00200qckqxs3,老鹰抓小鸡,2021,['动画'],"['成长与自我发现', '勇敢面对困境', '真诚与友谊', '环境与自然', '冲突与和解', '儿童与成长']","[10.0, 9.0, 8.0, 7.0, 6.0, 5.0]","['成长与自我发现', '勇敢面对困境', '真诚', '友谊', '环境', '自然', '冲突', '和解', '儿童', '成长']","['勇气', '好奇', '恐惧', '希望', '成长', '追随', '背叛', '悬案']","[2.97, 2.72, 2.72, 2.64, 2.64, 2.38, 2.38, 2.38]"
26,bv8m91i5jj1w1ww,冰雪奇缘,2013,['奇幻' '歌舞' '喜剧' '音乐' '动画'],"['家庭与团圆', '姐妹情谊', '勇气与冒险', '心灵成长', '真诚与友谊', '自我接受']","[10.0, 9.0, 8.0, 7.0, 6.0, 5.0]","['家庭', '团圆', '姐妹情谊', '勇气', '冒险', '心灵成长', '真诚', '友谊', '自我接受']","['欢乐', '喜悦', '幸福']","[5.4, 4.8, 4.2]"
27,mzc00200ks08iqq,木兰：横空出世,2020,['喜剧' '动画' '动作'],"['女性力量与平等', '成长与自我发现', '勇气与冒险', '忠诚与承诺', '家庭与团圆', '文化与传承']","[10.0, 9.0, 9.0, 8.0, 7.0, 6.0]","['女性力量与平等', '成长与自我发现', '勇气', '冒险', '忠诚', '承诺', '家庭', '团圆', '文化', '传承']","['勇气', '成长', '荣耀', '挫折']","[5.4, 4.8, 4.2, 1.6]"
28,u5swzrxeapydgrp,碟中谍6：全面瓦解,2018,['悬疑' '惊悚' '冒险' '动作'],"['复仇与救赎', '信任与背叛', '勇气与冒险', '忠诚与团结', '冲突与和解']","[10.0, 9.0, 8.0, 7.0, 5.0]","['复仇', '救赎', '信任', '背叛', '勇气', '冒险', '忠诚', '团结', '冲突', '和解']","['勇气', '团结', '背叛', '希望', '成长', '冷酷', '合作', '黑暗']","[3.6, 3.2, 3.0, 2.8, 2.4, 2.4, 2.1, 2.1]"
29,om43f374meb25iu,熊出没之夺宝熊兵,2014,['搞笑' '剧情' '喜剧' '亲情' '家庭' '冒险' '动画'],"['环保意识', '友谊', '团结与支持', '勇气与冒险', '亲情与关怀']","[9.0, 9.0, 8.0, 8.0, 7.0]","['环保意识', '友谊', '团结', '支持', '勇气', '冒险', '亲情', '关怀']","['温馨', '欢乐']","[4.5, 4.0]"
30,mzc002008li7sth,异兽,2022,['惊悚' '剧情' '恐怖'],"['生存与挑战', '困境与挑战', '灾难与生存', '勇气与冒险']","[10.0, 9.0, 8.0, 7.0]","['生存', '挑战', '困境', '灾难', '勇气', '冒险']","['恐惧', '勇气', '紧张', '战斗', '团结', '绝望']","[4.5, 4.0, 4.0, 3.5, 3.5, 3.5]"
31,76n6vdky9nfocyg,阿凡达：水之道,2022,['冒险' '科幻' '动作'],"['环境与自然', '人与自然', '科技与未来', '文化冲突', '勇气与冒险', '团结与支持']","[10.0, 9.0, 8.0, 7.0, 6.0, 5.0]","['环境', '自然', '人与自然', '科技', '未来', '文化冲突', '勇气', '冒险', '团结', '支持']","['勇气', '希望', '鼓舞']","[5.4, 4.8, 4.2]"
32,gib06eaidoc457v,僵尸先生5驱魔警察,1990,['奇幻' '恐怖' '动作'],['灵异现象'],[9.0],['灵异现象'],"['疑惑', '轻松']","[3.06, 2.64]"
33,mzc0020035l5vcf,狙击手,2022,['战争' '剧情' '历史'],"['战争与和平', '忠诚与承诺', '团结与支持', '牺牲与奉献', '勇气与冒险', '信念与坚持']","[10.0, 9.0, 9.0, 8.0, 8.0, 7.0]","['战争', '和平', '忠诚', '承诺', '团结', '支持', '牺牲', '奉献', '勇气', '冒险', '信念', '坚持']","['勇气', '回忆', '战斗', '团结', '成长', '挫折', '壮志', '沉重']","[3.3, 3.06, 3.06, 2.97, 2.72, 2.72, 2.64, 2.38]"
34,mzc00200zq928z1,我是监护人,2020,['剧情' '家庭'],"['亲情与成长', '自我与成长', '信念与坚持', '家庭与团圆', '困境与挑战']","[9.5, 9.0, 8.5, 8.0, 7.5]","['亲情', '成长', '自我', '信念', '坚持', '家庭', '团圆', '困境', '挑战']","['成长', '希望', '温馨', '回忆', '失落', '挫折', '遗憾', '战斗', '无助']","[4.0, 3.6, 3.2, 3.0, 3.0, 2.7, 2.7, 2.4, 2.4]"
35,mzc00200nx1hbcr,长津湖,2021,['战争' '剧情' '历史'],"['战争与和平', '忠诚与团结', '历史与文明', '勇气与冒险', '牺牲和奉献']","[10.0, 9.0, 8.0, 7.0, 6.0]","['战争', '和平', '忠诚', '团结', '历史', '文明', '勇气', '冒险', '牺牲和奉献']","['壮志', '勇气', '团结', '沉重', '战斗']","[5.0, 4.5, 4.5, 2.5, 2.0]"
36,mzc00200bd3gkta,满江红,,['悬疑' '剧情' '喜剧' '古装'],"['政治与权力', '真相与谎言', '忠诚与承诺', '阴谋与权谋']","[9.0, 8.0, 8.0, 7.0]","['政治', '权力', '真相', '谎言', '忠诚', '承诺', '阴谋', '权谋']","['勇气', '好奇', '紧张', '成长', '挫折', '团结', '悬案', '战斗']","[3.0, 3.0, 3.0, 2.667, 2.667, 2.333, 2.333, 2.333]"
37,v2098lbuihuqs11,复仇者联盟4：终局之战,2019,['奇幻' '冒险' '科幻' '动作'],"['团结与支持', '牺牲和奉献', '勇气与冒险', '忠诚与承诺']","[10.0, 9.0, 9.0, 8.0]","['团结', '支持', '牺牲和奉献', '勇气', '冒险', '忠诚', '承诺']","['团结', '勇气', '绝望', '希望', '战斗', '失落']","[4.5, 4.0, 4.0, 3.5, 3.5, 3.0]"
38,mzc00200o5otmir,鬼吹灯之湘西密藏,2020,['奇幻' '冒险' '喜剧' '动作'],"['探险与冒险', '奇幻与超自然', '历史与文明', '勇气与冒险', '友谊']","[10.0, 9.0, 8.0, 7.0, 6.0]","['探险', '冒险', '奇幻与超自然', '历史', '文明', '勇气', '友谊']","['勇气', '喜悦', '乐观', '挫折', '团结', '战斗', '悬案', '焦虑']","[3.6, 3.2, 2.8, 1.8, 1.6, 1.6, 1.4, 1.4]"
39,zr5a67l333ehzu9,哪吒之魔童降世,2019,['搞笑' '剧情' '动作' '奇幻' '喜剧' '亲情' '动画'],"['成长与自我发现', '家庭与团圆', '勇气与冒险', '真诚与友谊', '神话与传说', '反叛与救赎']","[10.0, 9.0, 8.0, 7.0, 6.0, 5.0]","['成长与自我发现', '家庭', '团圆', '勇气', '冒险', '真诚', '友谊', '神话', '传说', '反叛', '救赎']","['成长', '勇气', '友爱', '挫折', '战斗', '悬案', '团结']","[3.6, 3.2, 2.8, 2.4, 2.1, 1.8, 1.8]"
40,bzg57zo8fatq3mb,天空之城,1986,['奇幻' '冒险' '动画' '科幻'],"['环境与自然', '科技与未来', '勇气与冒险', '友谊', '文化冲突', '自我与成长']","[10.0, 9.0, 8.0, 7.0, 6.0, 5.0]","['环境', '自然', '科技', '未来', '勇气', '冒险', '友谊', '文化冲突', '自我', '成长']","['勇气', '友爱', '成长', '团结']","[3.2, 3.2, 1.2, 1.2]"
41,mzc00200ga2o6fs,守岛人,2021,['传记' '剧情'],"['勇气与冒险', '忠诚与承诺', '环境与自然', '家庭与团圆', '信任', '信念与坚持']","[10.0, 9.0, 8.0, 7.0, 6.0, 5.0]","['勇气', '冒险', '忠诚', '承诺', '环境', '自然', '家庭', '团圆', '信任', '信念', '坚持']","['勇气', '敬意', '鼓舞']","[4.5, 4.0, 3.5]"
42,3v5ksc6jiwskqw4,倒霉特工熊,2017,['冒险' '喜剧' '动画' '家庭'],"['成长与自我发现', '友谊', '勇气与冒险', '团结与支持', '信任', '适应与融入']","[10.0, 9.0, 8.0, 7.0, 6.0, 5.0]","['成长与自我发现', '友谊', '勇气', '冒险', '团结', '支持', '信任', '适应', '融入']","['友爱', '欢乐', '希望']","[4.5, 4.0, 3.5]"
43,2rgkj31016tqmhf,熊出没·原始时代,2019,['搞笑' '奇幻' '喜剧' '冒险' '动画'],"['环保意识', '动物与人类和谐共处', '成长与自我发现', '友谊', '乐观向上']","[10.0, 9.0, 8.0, 7.0, 5.0]","['环保意识', '动物与人类和谐共处', '成长与自我发现', '友谊', '乐观向上']","['欢乐', '喜悦', '友爱']","[4.5, 4.0, 3.5]"
44,h05z5bsjxw544er,前任3：再见前任,2017,['喜剧' '爱情' '搞笑'],"['真爱与选择', '成长与自我发现', '友谊', '信任与背叛', '忠诚与承诺']","[10.0, 9.0, 8.0, 7.0, 6.0]","['真爱', '选择', '成长与自我发现', '友谊', '信任', '背叛', '忠诚', '承诺']","['欢乐', '喜悦', '幽默']","[9.0, 8.0, 7.0]"
45,wi8e2p5kirdaf3j,战狼2,2017,['战争' '动作'],"['牺牲和奉献', '忠诚与承诺', '勇气与冒险', '团结与支持']","[10.0, 9.0, 8.0, 7.0]","['牺牲和奉献', '忠诚', '承诺', '勇气', '冒险', '团结', '支持']","['勇气', '战斗', '壮志', '敬意', '挫折']","[4.5, 4.5, 4.0, 3.5, 3.5]"
46,qee75hz1x7m6n3s,变形金刚5：最后的骑士,2017,['冒险' '科幻' '动作'],"['科技与未来', '忠诚与承诺', '友谊', '勇气与冒险', '真相与谎言']","[9.0, 8.0, 8.0, 7.0, 6.0]","['科技', '未来', '忠诚', '承诺', '友谊', '勇气', '冒险', '真相', '谎言']","['勇气', '战斗', '团结', '成长', '挫折', '希望', '自省', '恐惧']","[3.006, 2.997, 2.672, 2.664, 2.664, 2.338, 2.331, 2.331]"
47,mzc00200pnlxrd3,超级马力欧,2022,['爱情' '奇幻' '喜剧' '科幻' '冒险' '动画'],"['友情与成长', '忠诚与团结', '勇气与冒险', '亲情与关怀', '成长与自我发现']","[10.0, 9.0, 9.0, 8.0, 8.0]","['友情', '成长', '忠诚', '团结', '勇气', '冒险', '亲情', '关怀', '成长与自我发现']","['勇气', '喜悦']","[11111111.0, 1111111.0]"
48,mzc00200l3dp7jj,搬山道人之落天荒,,['冒险' '动作'],"['探索与冒险', '勇气与冒险', '信任与背叛', '忠诚与承诺', '信任与背叛', '正义与邪恶']","[10.0, 10.0, 9.0, 9.0, 8.0, 8.0]","['探索', '冒险', '勇气', '信任', '背叛', '忠诚', '承诺', '正义', '邪恶']","['近代', '诡异', '成长', '压抑', '勇气', '挫折', '背叛', '团结']","[3.06, 3.06, 2.72, 2.72, 2.64, 2.38, 2.38, 2.31]"
49,mzc002007nv9vz9,超能一家人,2022,,"['亲情与成长', '家庭关系', '团结与支持', '勇气与冒险', '正义与邪恶']","[10.0, 9.0, 7.0, 6.0, 5.0]","['亲情', '成长', '家庭关系', '团结', '支持', '勇气', '冒险', '正义', '邪恶']","['团结', '勇气', '欢乐', '挫折', '成长', '背叛', '悬案', '愤怒']","[3.6, 3.2, 2.8, 2.7, 2.4, 2.4, 2.1, 2.1]"
50,4ins96adw2a5rfv,精英部队2：大敌当前,2010,['惊悚' '剧情' '犯罪' '动作'],"['政治与权力', '犯罪与黑帮', '忠诚与承诺', '勇气与冒险', '困境与挑战']","[10.0, 9.0, 8.0, 7.0, 6.0]","['政治', '权力', '犯罪', '黑帮', '忠诚', '承诺', '勇气', '冒险', '困境', '挑战']","['勇气', '残暴', '荣耀', '痛苦', '敬意', '压迫']","[4.5, 4.5, 4.0, 4.0, 3.5, 3.5]"
51,d6mvesrx6j2ux4x,致命黑兰,2011,['惊悚' '剧情' '犯罪' '动作'],"['复仇与救赎', '信任与背叛', '暗杀与黑暗世界', '犯罪与黑帮']","[10.0, 9.0, 8.0, 7.0]","['复仇', '救赎', '信任', '背叛', '暗杀与黑暗世界', '犯罪', '黑帮']","['复仇', '仇恨', '冲突', '暴力']","[4.5, 4.0, 3.5, 3.5]"
52,7casb7nes159mrl,红海行动,2018,['战争' '动作'],"['团结与支持', '勇气与冒险', '忠诚与承诺', '生死抉择', '战争与和平']","[9.0, 9.0, 8.0, 8.0, 7.0]","['团结', '支持', '勇气', '冒险', '忠诚', '承诺', '生死抉择', '战争', '和平']","['爱国', '热血', '军事', '恐怖分子', '特种部队', '武装冲突']","[4.5, 4.0, 1.0, 1.0, 0.8, 0.8]"
53,mzc00200s86e0j8,蜘蛛侠：纵横宇宙（上）,2022,,"['青春与成长', '友谊', '勇气与冒险', '多元宇宙']","[9.0, 8.0, 7.0, 6.0]","['青春', '成长', '友谊', '勇气', '冒险', '多元宇宙']","['壮志', '回忆', '挑战', '勇气', '成长', '鼓舞', '发现', '威胁']","[2.97, 2.72, 2.72, 2.64, 2.38, 2.31, 2.04, 2.04]"
54,mzc002003s3ah9o,蛇灾：蛇岛惊魂,2020,['惊悚' '冒险' '灾难' '亲情'],"['生死抉择', '环境与自然', '灾难与生存', '动物与人类和谐共处']","[10.0, 9.0, 7.0, 6.0]","['生死抉择', '环境', '自然', '灾难', '生存', '动物与人类和谐共处']","['探险', '危险', '热血', '现代', '困境', '奋斗', '团结']","[2.97, 2.97, 2.64, 2.64, 2.64, 2.31, 2.31]"
55,1nawx3148rx2apm,熊出没之雪岭熊风,2015,['冒险' '喜剧' '动画' '家庭'],"['成长与自我发现', '牺牲精神', '环保意识', '勇敢面对困境']","[10.0, 9.0, 8.0, 7.0]","['成长与自我发现', '牺牲精神', '环保意识', '勇敢面对困境']","['危险', '欢乐', '神秘', '敌人', '友谊', '挫折', '成长']","[3.06, 2.97, 2.72, 2.72, 2.64, 2.38, 2.31]"
56,mzc00200ky6sung,幸存者1937,2021,['战争'],"['战争与和平', '历史与文明', '勇气与冒险', '忠诚与承诺', '牺牲和奉献', '生死抉择']","[10.0, 9.0, 8.0, 7.0, 6.0, 5.0]","['战争', '和平', '历史', '文明', '勇气', '冒险', '忠诚', '承诺', '牺牲和奉献', '生死抉择']","['勇敢', '危险', '团结', '敌人', '威胁']","[4.5, 4.5, 4.0, 4.0, 3.5]"
57,mzc00200ylulwyn,冷血悍将,2021,['惊悚' '剧情' '动作'],"['复仇与救赎', '信任与背叛', '黑暗世界', '勇敢面对困境', '忠诚与团结']","[10.0, 9.0, 8.0, 7.0, 6.0]","['复仇', '救赎', '信任', '背叛', '黑暗世界', '勇敢面对困境', '忠诚', '团结']","['威胁', '危险', '纷争', '敌人', '勇敢', '团结']","[5.4, 4.8, 4.2, 3.6, 2.4, 2.1]"
58,53el1qwq1gnm5fn,熊出没之熊心归来,2016,['冒险' '喜剧' '儿童' '动画'],"['环保意识', '友谊', '勇气与冒险', '团结与支持', '成长与自我发现', '动物与人类和谐共处']","[10.0, 9.0, 8.0, 7.0, 6.0, 5.0]","['环保意识', '友谊', '勇气', '冒险', '团结', '支持', '成长与自我发现', '动物与人类和谐共处']","['团结', '失误', '成长', '挫折', '勇敢', '寻找', '纷争']","[2.997, 2.997, 2.664, 2.664, 2.331, 2.331, 2.331]"
59,mzc00200b4jsdq6,人生路不熟,,['剧情' '喜剧'],"['家庭与团圆', '亲情与成长', '冲突与和解', '信任', '勇敢面对困境']","[10.0, 9.0, 9.0, 8.0, 7.0]","['家庭', '团圆', '亲情', '成长', '冲突', '和解', '信任', '勇敢面对困境']","['欢乐', '失误', '挫折']","[3.6, 3.2, 2.8]"
60,mzc00200grqdp0c,007：无暇赴死,2021,['惊悚' '冒险' '动作'],"['忠诚与承诺', '信任', '牺牲和奉献', '勇气与冒险', '暗杀与黑暗世界']","[10.0, 9.0, 8.0, 7.0, 6.0]","['忠诚', '承诺', '信任', '牺牲和奉献', '勇气', '冒险', '暗杀与黑暗世界']","['勇敢', '团结', '友谊', '危险', '寻找', '纷争', '神秘', '敌人']","[3.6, 3.2, 2.8, 2.7, 2.4, 2.4, 2.1, 2.1]"
61,kkpdn0lz6drhxz8,海绵宝宝,2015,['冒险' '喜剧' '动画' '家庭'],"['友谊', '成长与自我发现', '乐观向上', '正义与邪恶']","[10.0, 9.0, 8.0, 7.0]","['友谊', '成长与自我发现', '乐观向上', '正义', '邪恶']","['欢乐', '友谊']","[5.4, 4.8]"
62,mzc002001clmhji,汪汪队立大功之超能救援,2020,['冒险' '动画' '儿童' '家庭'],"['团队合作', '成长与自我发现', '勇敢面对困境', '友谊', '动物与人类和谐共处']","[10.0, 9.0, 8.0, 7.0, 6.0]","['团队合作', '成长与自我发现', '勇敢面对困境', '友谊', '动物与人类和谐共处']","['团结', '勇敢', '成长', '威胁', '敌人', '神秘', '危险']","[3.6, 3.2, 2.8, 1.6, 1.4, 1.2, 1.2]"
63,dwt56ndspm9xm89,变形金刚,2007,['冒险' '科幻' '动作'],"['自我与成长', '科技与未来', '友谊', '团队合作', '勇敢面对困境', '正义与邪恶']","[10.0, 9.0, 9.0, 8.0, 8.0, 7.0]","['自我', '成长', '科技', '未来', '友谊', '团队合作', '勇敢面对困境', '正义', '邪恶']","['危险', '勇敢', '寻找', '敌人', '团结', '成长', '神秘', '挫折']","[3.4, 2.97, 2.72, 2.72, 2.64, 2.31, 2.04, 2.04]"
64,c949qjcugx9a7gh,毒液：致命守护者,2018,['惊悚' '搞笑' '科幻' '动作'],"['自我与成长', '勇气与冒险', '团队合作', '正义与邪恶', '科技与未来', '信任与背叛']","[10.0, 9.0, 8.0, 7.0, 6.0, 5.0]","['自我', '成长', '勇气', '冒险', '团队合作', '正义', '邪恶', '科技', '未来', '信任', '背叛']","['勇敢', '友谊', '团结', '危险', '寻找', '敌人', '神秘', '威胁']","[3.6, 3.2, 2.8, 2.7, 2.4, 2.4, 2.1, 2.1]"
